SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,"2,4-D, dimethylamine salt",157AFF33-5A18-4611-8C8E-DF2AFBA09EBA,Emissions to water/groundwater,kg,=,ecoinventEFv3.7,Dimethylamine,1ae07e12-290e-4ee2-a032-d3075e161c53,water/ground-,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",157AFF33-5A18-4611-8C8E-DF2AFBA09EBA,"Emissions to water/groundwater, long-term",kg,=,ecoinventEFv3.7,Dimethylamine,aec25913-c64b-4046-8ac9-a48587771b0d,"water/ground-, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",157AFF33-5A18-4611-8C8E-DF2AFBA09EBA,Emissions to water/ocean,kg,=,ecoinventEFv3.7,Dimethylamine,05909c8c-153e-4969-aaa8-e735054b8ee2,water/ocean,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",157AFF33-5A18-4611-8C8E-DF2AFBA09EBA,Emissions to water/lake,kg,=,ecoinventEFv3.7,Dimethylamine,d9977222-46f1-447f-8d65-f34f060b1087,water/surface water,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",157AFF33-5A18-4611-8C8E-DF2AFBA09EBA,Emissions to water/river,kg,=,ecoinventEFv3.7,Dimethylamine,d9977222-46f1-447f-8d65-f34f060b1087,water/surface water,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",157AFF33-5A18-4611-8C8E-DF2AFBA09EBA,"Emissions to water/river, long-term",kg,=,ecoinventEFv3.7,Dimethylamine,d9977222-46f1-447f-8d65-f34f060b1087,water/surface water,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",157AFF33-5A18-4611-8C8E-DF2AFBA09EBA,Emissions to water/(unspecified),kg,=,ecoinventEFv3.7,Dimethylamine,43398c2a-4ceb-4c7f-8ffc-37d2b78e22a3,water/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Acids, unspecified",2D88CAC9-A81D-43ED-A523-F0D2CE9EDF64,Emissions to water/groundwater,kg,=,ecoinventEFv3.7,"Acidity, unspecified",3410aa09-a803-4bdc-8f10-f03f1760851a,water/ground-,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Acids, unspecified",2D88CAC9-A81D-43ED-A523-F0D2CE9EDF64,"Emissions to water/groundwater, long-term",kg,=,ecoinventEFv3.7,"Acidity, unspecified",645f66af-4b28-4b61-82fb-f30012cab42f,"water/ground-, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Acids, unspecified",2D88CAC9-A81D-43ED-A523-F0D2CE9EDF64,Emissions to water/ocean,kg,=,ecoinventEFv3.7,"Acidity, unspecified",372dc06d-0cc9-4f85-9e00-9d452f2d3c7a,water/ocean,kg,Chris Mutel,,2023-01-09T23:20:04.470300+01:00,Automated match. Notebook: Match - Minor random name differences,,,
