SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Actinium,90004354-71D3-47E8-B322-300BA5A98F7B,Raw materials,kg,=,ecoinventEFv3.7,"Actinium, in ground",7781bd84-0ca4-5bf1-8fc5-15cdc1fb0796,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,"Aluminium, in ground",a45cd247-3532-4e27-bddc-b519fdb5e08f,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Anhydrite,9F3A82FA-C5EC-4A67-A6BA-A8C70B506729,Raw materials,kg,=,ecoinventEFv3.7,"Anhydrite, in ground",6df9ea09-115a-4678-9f30-d92c877a46ec,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Antimony,3663319E-1752-40A4-A2C2-92B5EA34A8E4,Raw materials,kg,=,ecoinventEFv3.7,"Antimony, in ground",47262180-8308-5d4c-9332-c77617e032ef,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Arsenic,57256A1B-501B-467F-97C3-40228C04EC53,Raw materials,kg,=,ecoinventEFv3.7,"Arsenic, in ground",e16fd15c-0ebc-55ba-8d3b-9704f13663cb,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Barium,72791A7C-7339-412C-B11F-8BCC5EEE641B,Raw materials,kg,=,ecoinventEFv3.7,"Barium, in ground",240177d8-6f3b-43f5-8d1e-0c18114dfa02,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Basalt,2CD45EEB-0495-4B97-AB3F-CB67D053946D,Raw materials,kg,=,ecoinventEFv3.7,"Basalt, in ground",ac3a8914-35f0-4c34-a956-f26b3a053e4a,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Beryllium,DE1E72F1-D0DF-4F60-A883-17C677CFBA84,Raw materials,kg,=,ecoinventEFv3.7,"Beryllium, in ground",68f7bc03-0665-55a1-bd99-96530eab30e2,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Bismuth,A43059E5-E175-4E5A-865D-AECD6CD72064,Raw materials,kg,=,ecoinventEFv3.7,"Bismuth, in ground",0124b342-4bdd-5cbf-ba2a-dce8a259755c,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
SimaPro9.4,Borax,4FAD5410-8FF3-47B7-AC3B-C52E8E8235BD,Raw materials,kg,=,ecoinventEFv3.7,"Borax, in ground",eead2933-c2be-4a53-a0bd-bd33b67e4145,natural resource/in ground,kg,Chris Mutel,,2023-01-09T12:52:24.589815+01:00,Automated match. Notebook: Match - Resources with suffix in ground,,,
