SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,1-Butanol,974B2A5E-6F26-43B8-A23A-C600F93FD82E,Emissions to water/groundwater,kg,=,ecoinventEFv3.7,Butanol,e756c84e-65d1-487b-aa76-91c9c8adff16,water/ground-,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,974B2A5E-6F26-43B8-A23A-C600F93FD82E,"Emissions to water/groundwater, long-term",kg,=,ecoinventEFv3.7,Butanol,370e587f-58ad-4bc7-ad35-9605b6dcd138,"water/ground-, long-term",kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,974B2A5E-6F26-43B8-A23A-C600F93FD82E,Emissions to water/ocean,kg,=,ecoinventEFv3.7,Butanol,20c6c6d7-904c-4d33-923e-80e8ae7ee199,water/ocean,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,974B2A5E-6F26-43B8-A23A-C600F93FD82E,Emissions to water/lake,kg,=,ecoinventEFv3.7,Butanol,f6e3ce3b-ce57-4313-ac88-59a8361925cf,water/surface water,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,974B2A5E-6F26-43B8-A23A-C600F93FD82E,Emissions to water/river,kg,=,ecoinventEFv3.7,Butanol,f6e3ce3b-ce57-4313-ac88-59a8361925cf,water/surface water,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,974B2A5E-6F26-43B8-A23A-C600F93FD82E,"Emissions to water/river, long-term",kg,=,ecoinventEFv3.7,Butanol,f6e3ce3b-ce57-4313-ac88-59a8361925cf,water/surface water,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,974B2A5E-6F26-43B8-A23A-C600F93FD82E,Emissions to water/(unspecified),kg,=,ecoinventEFv3.7,Butanol,b50d8d03-7e88-4b29-9d10-67bbe01bdbc6,water/unspecified,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Propanol,8C31919B-2D42-4CAD-A10E-8084CCD6BE99,Emissions to water/groundwater,kg,=,ecoinventEFv3.7,Propanol,85500204-9d88-40ae-9f0b-3ceba0e7a74f,water/ground-,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Propanol,8C31919B-2D42-4CAD-A10E-8084CCD6BE99,"Emissions to water/groundwater, long-term",kg,=,ecoinventEFv3.7,Propanol,099aeca3-9b1a-44be-9b67-7bb90dffe37c,"water/ground-, long-term",kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Propanol,8C31919B-2D42-4CAD-A10E-8084CCD6BE99,Emissions to water/ocean,kg,=,ecoinventEFv3.7,Propanol,1f5c895e-f17c-4e2e-ba55-368273bdcf21,water/ocean,kg,Chris Mutel,,2023-01-09T23:02:27.529842+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
