SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Carbon dioxide,DBE27C73-9DF4-4F21-B2EB-A0CE1FE87A4B,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,air/unspecified,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, fossil",632F6F83-701F-4B77-9511-A74879787B91,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,air/unspecified,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon dioxide,DBE27C73-9DF4-4F21-B2EB-A0CE1FE87A4B,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, fossil",632F6F83-701F-4B77-9511-A74879787B91,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon dioxide,DBE27C73-9DF4-4F21-B2EB-A0CE1FE87A4B,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, fossil",632F6F83-701F-4B77-9511-A74879787B91,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon dioxide,DBE27C73-9DF4-4F21-B2EB-A0CE1FE87A4B,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",e259263c-d1f1-449f-bb9b-73c6d0a32a00,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,"Carbon dioxide, fossil",632F6F83-701F-4B77-9511-A74879787B91,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",e259263c-d1f1-449f-bb9b-73c6d0a32a00,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon dioxide,DBE27C73-9DF4-4F21-B2EB-A0CE1FE87A4B,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
SimaPro9.4,Carbon dioxide,DBE27C73-9DF4-4F21-B2EB-A0CE1FE87A4B,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,"Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T19:59:48.920294+01:00,Automated match. Notebook: Match - missing biogenic and fossil carbon,,,
