SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,1-Pentanol,5E6F7EF4-1C2C-414A-BB7D-D29AE6450363,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,1-Pentanol,9dd01d5b-3677-4822-9cd4-36d21b0e23d1,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentanol,5E6F7EF4-1C2C-414A-BB7D-D29AE6450363,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,1-Pentanol,b78e77cb-7636-4420-855e-17239984f8b3,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentanol,5E6F7EF4-1C2C-414A-BB7D-D29AE6450363,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,1-Pentanol,cc9a442f-c96a-4bdc-990d-8b58f72b4e07,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentanol,5E6F7EF4-1C2C-414A-BB7D-D29AE6450363,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,1-Pentanol,048baf1e-6cdc-44a5-92e2-32d15ff54885,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentanol,5E6F7EF4-1C2C-414A-BB7D-D29AE6450363,Emissions to air/high. pop.,kg,=,1.0,ecoinventEFv3.7,1-Pentanol,541a823c-0aad-4dc4-9123-d4af4647d942,air/urban air close to ground,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentene,7C520ED4-55BA-43B6-BBF3-5AD03B122FB9,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,1-Pentene,47a8dfb8-f1e5-4460-b7ca-eeea1ca44596,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentene,7C520ED4-55BA-43B6-BBF3-5AD03B122FB9,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,1-Pentene,87eed31b-5a6b-43ae-9a02-778a8c6e4ff8,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentene,7C520ED4-55BA-43B6-BBF3-5AD03B122FB9,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,1-Pentene,ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentene,7C520ED4-55BA-43B6-BBF3-5AD03B122FB9,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,1-Pentene,651cbfbb-3027-4e20-a5b0-4a67e86e837a,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,1-Pentene,7C520ED4-55BA-43B6-BBF3-5AD03B122FB9,Emissions to air/high. pop.,kg,=,1.0,ecoinventEFv3.7,1-Pentene,8cbaa905-41b0-4327-8403-bf1c8eb25429,air/urban air close to ground,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,"1,4-Butanediol",4EEAEE7A-C189-4353-813B-696286DF2C3B,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,"1,4-Butanediol",d21da01e-f96f-4db5-9746-7b70db8a1f2c,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,"1,4-Butanediol",4EEAEE7A-C189-4353-813B-696286DF2C3B,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,"1,4-Butanediol",90653a29-2f53-4b1b-88bd-9ae2fe64a8d6,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,"1,4-Butanediol",4EEAEE7A-C189-4353-813B-696286DF2C3B,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,"1,4-Butanediol",83bafcf1-2f2e-4a32-89a0-f1f16ca10626,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,"1,4-Butanediol",4EEAEE7A-C189-4353-813B-696286DF2C3B,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,"1,4-Butanediol",09db39be-d9a6-4fc3-8d25-1f80b23e9131,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,"1,4-Butanediol",4EEAEE7A-C189-4353-813B-696286DF2C3B,Emissions to air/high. pop.,kg,=,1.0,ecoinventEFv3.7,"1,4-Butanediol",38a622c6-f086-4763-a952-7c6b3b1c42ba,air/urban air close to ground,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Aminopropanol,CD763A90-8391-4F48-B3C4-6E7916633D94,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,2-Aminopropanol,cdce48e7-8c92-4214-b948-cc46a4700fe6,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Aminopropanol,CD763A90-8391-4F48-B3C4-6E7916633D94,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,2-Aminopropanol,c43cede7-18e7-49a4-aaf1-574975584a1b,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Aminopropanol,CD763A90-8391-4F48-B3C4-6E7916633D94,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,2-Aminopropanol,b1fa0fe9-49d4-4e1d-9502-3b2d10a313c9,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Aminopropanol,CD763A90-8391-4F48-B3C4-6E7916633D94,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,2-Aminopropanol,3e07d825-a98e-4cdc-afa3-610fa7739261,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Aminopropanol,CD763A90-8391-4F48-B3C4-6E7916633D94,Emissions to air/high. pop.,kg,=,1.0,ecoinventEFv3.7,2-Aminopropanol,a0fec60d-3f74-48bf-a2d2-58c30fc13e53,air/urban air close to ground,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Methyl-1-propanol,2154C185-56D5-4756-99AE-5BB2212DDBF7,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,2-Methyl-1-propanol,88be8e1b-1bdc-46e1-9856-187a95b3d872,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Methyl-1-propanol,2154C185-56D5-4756-99AE-5BB2212DDBF7,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,2-Methyl-1-propanol,17f06f74-feea-4b7c-a125-a67ae6e1dcfb,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Methyl-1-propanol,2154C185-56D5-4756-99AE-5BB2212DDBF7,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,2-Methyl-1-propanol,76e532b3-25c7-487e-894c-5bf306cdd012,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Methyl-1-propanol,2154C185-56D5-4756-99AE-5BB2212DDBF7,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,2-Methyl-1-propanol,47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Methyl-1-propanol,2154C185-56D5-4756-99AE-5BB2212DDBF7,Emissions to air/high. pop.,kg,=,1.0,ecoinventEFv3.7,2-Methyl-1-propanol,e2d860e3-1038-4386-a5f1-25ad75d18bbd,air/urban air close to ground,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Nitrobenzoic acid,BAA91737-524A-425D-95B7-6E59961A812F,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,2-Nitrobenzoic acid,409f0e6f-f0a5-4011-8f85-938e9a078f92,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Nitrobenzoic acid,BAA91737-524A-425D-95B7-6E59961A812F,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,2-Nitrobenzoic acid,878099e4-3f82-4ec6-88c5-1acd745bf01a,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Nitrobenzoic acid,BAA91737-524A-425D-95B7-6E59961A812F,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,2-Nitrobenzoic acid,5884b91e-d758-4fb4-9bf0-6cf87093cdb2,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Nitrobenzoic acid,BAA91737-524A-425D-95B7-6E59961A812F,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,2-Nitrobenzoic acid,98d3f159-b420-4e43-aab5-4fd093b82429,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Nitrobenzoic acid,BAA91737-524A-425D-95B7-6E59961A812F,Emissions to air/high. pop.,kg,=,1.0,ecoinventEFv3.7,2-Nitrobenzoic acid,90d374f1-b739-45b2-a734-d6bdd8c8dc9c,air/urban air close to ground,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Propanol,8EAC9A77-C04E-4F95-BA94-65E4602A33FF,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,2-Propanol,326b94e8-aea0-4bd4-8a50-63bf283882a8,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Propanol,8EAC9A77-C04E-4F95-BA94-65E4602A33FF,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,2-Propanol,1cd24bc8-53b9-43e8-ad58-4438c9244a10,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Propanol,8EAC9A77-C04E-4F95-BA94-65E4602A33FF,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,2-Propanol,ed1aff41-0bfc-48b8-8250-840c0a2f6961,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Propanol,8EAC9A77-C04E-4F95-BA94-65E4602A33FF,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,2-Propanol,479edec6-763c-49fc-83f8-49780f08cf29,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,2-Propanol,8EAC9A77-C04E-4F95-BA94-65E4602A33FF,Emissions to air/high. pop.,kg,=,1.0,ecoinventEFv3.7,2-Propanol,cbf58f64-9286-406f-8dcb-ef1d81eec980,air/urban air close to ground,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,"2,4-D",5E6E4BE4-23C0-4E66-B67A-FE1568BD24EE,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,"2,4-D",e6137e6e-84a6-4fa1-a5bf-47c8153d7c05,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,"2,4-D ester",3E257DE4-C82E-4341-981D-030FE81ADE71,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,"2,4-D ester",99e1284e-58fc-4652-bc24-b796b858b24e,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,3-Methyl-1-butanol,B08B4E7B-C488-4F04-B210-AE26CAE0B4DD,"Emissions to air/low. pop., long-term",kg,=,1.0,ecoinventEFv3.7,3-Methyl-1-butanol,dc50265c-a1ea-49b3-97a9-fad6f1da0bd7,"air/low population density, long-term",kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,3-Methyl-1-butanol,B08B4E7B-C488-4F04-B210-AE26CAE0B4DD,Emissions to air/stratosphere + troposphere,kg,=,1.0,ecoinventEFv3.7,3-Methyl-1-butanol,f792a1df-81cb-4c95-8c4a-e0626701e619,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,3-Methyl-1-butanol,B08B4E7B-C488-4F04-B210-AE26CAE0B4DD,Emissions to air/low. pop.,kg,=,1.0,ecoinventEFv3.7,3-Methyl-1-butanol,8d50d9ce-3284-4a1e-ab89-2a7a931b110d,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
SimaPro9.4,3-Methyl-1-butanol,B08B4E7B-C488-4F04-B210-AE26CAE0B4DD,Emissions to air/(unspecified),kg,=,1.0,ecoinventEFv3.7,3-Methyl-1-butanol,1eefb686-03de-4dc8-933a-e3b7459438da,air/unspecified,kg,Chris Mutel,,2022-09-23T10:59:32.678836+02:00,Automated match. Notebook: Match - Identical names in air,,,
