SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,"Occupation, annual crop",322AC138-364B-4E92-8BDB-0A86A4BD95C6,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop",c5aafa60-495c-461c-a1d4-b262a34c45b9,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, flooded crop",3AB83A38-BB37-478D-8E23-71ED99C52254,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, flooded crop",7956039f-1181-42ab-b03b-ba9992733394,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, greenhouse",E51A65A6-0FE4-4D81-9011-E08CB30AC361,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, greenhouse",9e80f7cd-47fa-4c7f-8f2c-bdb9731b3196,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, irrigated",FB4F29FA-EFF3-4D25-91E2-FE5F1740DC21,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, irrigated",c4a82f46-381f-474c-a362-3363064b9c33,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, irrigated, extensive",D2E60B56-EE72-43F7-80F0-22991F396C17,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, irrigated, extensive",12c7671c-e4aa-46c6-93c5-b6f9ac1c453b,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, irrigated, intensive",97EDC22E-0631-4E03-AD49-2CE50B139165,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, irrigated, intensive",9fd128fe-d8c5-476f-af42-2795d5f5d227,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, non-irrigated",B860DDF4-300D-4A3A-9E60-70A4233E7242,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, non-irrigated",a6889a22-e99e-42ea-85cd-4a68d7975dcd,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, non-irrigated, extensive",DBADABE4-A639-4E90-9C04-913C2B43B1E0,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, non-irrigated, extensive",1b0a8570-eab4-46c2-9b67-c9b918e75676,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, annual crop, non-irrigated, intensive",00EBB10C-C6A1-49F3-B2E2-86A51D56B749,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, annual crop, non-irrigated, intensive",e063ee9c-9850-42b5-b01e-4cc9b5ad7152,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, construction site",A24184FF-50A9-45AA-BCE3-AD67F8A188CE,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, construction site",4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, cropland fallow (non-use)",80E2E3E6-552A-4480-8970-8C4D8CD4933E,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, cropland fallow (non-use)",5d615a38-6d0a-4f3a-8973-69b333b6e814,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, dump site",4F3C90C7-D37D-4F08-89C5-6E6A3D48314A,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, dump site",1eaa9ea4-40b8-414a-b198-5626400372e1,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, forest, extensive",BBB55038-092A-4937-B616-4C15C10C53DD,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, forest, extensive",2925111b-3464-4e34-9d02-b73c1c033e91,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, forest, intensive",F2ED7841-46CD-42F7-9374-28297BCC370A,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, forest, intensive",aca1714f-0040-4a65-a73a-0e38aa9f50f4,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, forest, primary (non-use)",74610AD7-358B-4A04-A341-7E10177BF9BC,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, forest, primary (non-use)",0f923637-e322-44d8-9ff2-9c765d75e253,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
SimaPro9.4,"Occupation, forest, secondary (non-use)",68BCBE77-E873-42A0-BC5F-3A05F36E4DA9,Resources/land,m2a,=,ecoinventEFv3.7,"Occupation, forest, secondary (non-use)",84b11d12-a078-44e7-9d6e-7675a0e23c4d,natural resource/land,m2*a,Chris Mutel,,2023-01-09T11:48:19.138338+01:00,Automated match. Notebook: Match - Resources,,,
