SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,"2-Amino-3-chloro-1,4-naphthoquinone",DC8E14C2-D172-4120-BF06-972470A77881,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,"2-Amino-3-chloro-1,4-naphthoquinone",f9ba52c4-ffe0-53fc-9724-6c1daebcbc1c,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,2-Phenylphenol,766541E6-BBD1-453C-958C-6EB5EC51A2C0,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,2-Phenylphenol,5357f101-f2df-5f6e-b534-f1705b597773,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,"2,4-D",0266AEAA-9C73-4874-A015-A20DF754060C,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,"2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,"2,4-D ester",C91A0AC1-85AE-4AE3-9346-AD358C6C91EA,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,"2,4-D ester",6986913c-284b-4173-95fe-4a242498b1bc,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,8-Quinolinol,26C96A47-D123-4390-9EAF-762E2F573769,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,8-Quinolinol,3d071bc4-855b-52d7-baa8-2cacbf536777,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,Abamectin,FAACDD6A-71CB-4C7F-BDEB-5D9A33DB4F9E,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Abamectin,3166d308-cc57-4d31-b42e-63c7eada821f,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,Acephate,97389C80-F9F6-48BF-AA2B-6013CBBEEDB4,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Acephate,cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,Acetamide,0EFB6A49-41CA-4EDB-BB97-098D08D03063,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Acetamide,eb23cf3a-b866-458d-94b3-9aee4145fcc9,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,Acetamiprid,DD0CA2C9-6472-4DD4-918E-B6334FF7A238,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Acetamiprid,910b7532-d541-45a5-a535-03f54997726e,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
SimaPro9.4,Acetochlor,554D5024-96D9-4FE3-89FF-8BFDDC728184,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Acetochlor,92ee2fc1-238c-465d-9887-418af42db9c7,soil/agricultural,kg,Chris Mutel,,2022-12-20T22:13:12.232304+01:00,Automated match. Notebook: Match - Identical names in soil,,,
