SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,1-Pentanol,CBD72D82-FB5E-49B5-821E-A808A79E0A2B,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,1-Pentanol,5074e239-b510-49aa-928c-fcdb462481d8,water/ground-,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentanol,CBD72D82-FB5E-49B5-821E-A808A79E0A2B,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,1-Pentanol,cfa50eaf-a817-4352-b9fe-aa834240d269,"water/ground-, long-term",kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentanol,CBD72D82-FB5E-49B5-821E-A808A79E0A2B,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,1-Pentanol,8d28a5b3-1b1c-41e9-9eba-90c607aad7db,water/ocean,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentanol,CBD72D82-FB5E-49B5-821E-A808A79E0A2B,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,1-Pentanol,e4526360-b2a1-4e77-9f00-57dbfe228bde,water/surface water,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentanol,CBD72D82-FB5E-49B5-821E-A808A79E0A2B,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,1-Pentanol,e4526360-b2a1-4e77-9f00-57dbfe228bde,water/surface water,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentanol,CBD72D82-FB5E-49B5-821E-A808A79E0A2B,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,1-Pentanol,e4526360-b2a1-4e77-9f00-57dbfe228bde,water/surface water,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentanol,CBD72D82-FB5E-49B5-821E-A808A79E0A2B,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,1-Pentanol,070dc6b3-0976-45a0-803e-0a87d7e96959,water/unspecified,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentene,32087CF3-DB84-4FE1-8F37-105BE8EBA21C,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,1-Pentene,7a41be00-7040-4097-99be-a8085e86bf5e,water/ground-,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentene,32087CF3-DB84-4FE1-8F37-105BE8EBA21C,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,1-Pentene,4530576f-7f93-4c43-b13e-8cd2da98f501,"water/ground-, long-term",kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
SimaPro9.4,1-Pentene,32087CF3-DB84-4FE1-8F37-105BE8EBA21C,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,1-Pentene,9d99096b-4e70-452b-9e3b-b2296613bc0f,water/ocean,kg,Chris Mutel,,2022-09-24T16:08:22.073725+02:00,Automated match. Notebook: Match - Identical names in water,,,
