SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,46e63323-cffd-4c46-829b-5f006b50fa9b,"air/low population density, long-term",kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,d96403bf-902e-4b7a-8ffd-32fe09e4017f,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,9c3bd678-1b2f-4b95-a245-d5c8a3fe326b,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,ff65658c-2d39-44a2-b23e-7ec3c644f064,air/unspecified,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,6f0b8b7c-3888-4174-b7e3-916d42d678ee,air/urban air close to ground,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,2baa4381-b781-4f5e-90de-508b0fa3fd1f,soil/agricultural,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,39555a26-d28b-425f-993f-e8770ab7d9cf,soil/forestry,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,765546a9-b056-4d27-ad14-2f016511bdcb,soil/industrial,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,e0401210-0377-4670-84af-12247ca20bed,soil/unspecified,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,2e0c9efa-d55c-49db-8be3-0376d5921ff4,water/ground-,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,"water/ground-, long-term",kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,0ace7678-a181-48e8-8728-d912a8b56c57,water/ocean,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,97e498ec-f323-4ec6-bcc0-d8a4c853bae3,water/surface water,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,Raw materials,kg,=,ecoinventEFv3.7,Aluminium,7880e65c-0321-4295-ba55-3186ad36e489,water/unspecified,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,46e63323-cffd-4c46-829b-5f006b50fa9b,"air/low population density, long-term",kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,d96403bf-902e-4b7a-8ffd-32fe09e4017f,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,9c3bd678-1b2f-4b95-a245-d5c8a3fe326b,air/non-urban air or from high stacks,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,ff65658c-2d39-44a2-b23e-7ec3c644f064,air/unspecified,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,6f0b8b7c-3888-4174-b7e3-916d42d678ee,air/urban air close to ground,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,2baa4381-b781-4f5e-90de-508b0fa3fd1f,soil/agricultural,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,39555a26-d28b-425f-993f-e8770ab7d9cf,soil/forestry,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,765546a9-b056-4d27-ad14-2f016511bdcb,soil/industrial,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,e0401210-0377-4670-84af-12247ca20bed,soil/unspecified,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,2e0c9efa-d55c-49db-8be3-0376d5921ff4,water/ground-,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,"water/ground-, long-term",kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,0ace7678-a181-48e8-8728-d912a8b56c57,water/ocean,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,97e498ec-f323-4ec6-bcc0-d8a4c853bae3,water/surface water,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,E1905F7D-3A6F-46F1-8D27-BD47895FC509,Airborne emissions,kg,=,ecoinventEFv3.7,Aluminium,7880e65c-0321-4295-ba55-3186ad36e489,water/unspecified,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,F06DF379-621A-4B7E-A40F-15D57703B39C,Waterborne emissions,kg,=,ecoinventEFv3.7,Aluminium,46e63323-cffd-4c46-829b-5f006b50fa9b,"air/low population density, long-term",kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
SimaPro9.4,Aluminium,F06DF379-621A-4B7E-A40F-15D57703B39C,Waterborne emissions,kg,=,ecoinventEFv3.7,Aluminium,d96403bf-902e-4b7a-8ffd-32fe09e4017f,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2022-09-18T12:14:37.853379+02:00,Automated match. Notebook: Match - Match identical names,,,
