SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Argon-40/kg,6EBC5693-ED93-481C-978A-CAA21B4A8430,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Argon-40,38321e66-f6ab-4908-b26f-c17267559bc5,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,1-Butene,AB603099-4D48-400D-946B-BEBA34464080,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Butene,91f6386a-af2e-4bbb-a05c-62e4483b1bcf,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,2-Butene,516273CA-ACDD-497D-915F-B4DC34CA3577,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Butene,91f6386a-af2e-4bbb-a05c-62e4483b1bcf,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,1-Butene,AB603099-4D48-400D-946B-BEBA34464080,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Butene,53fc7ec9-1b3f-4d89-ade6-8ca2934c1695,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,2-Butene,516273CA-ACDD-497D-915F-B4DC34CA3577,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Butene,53fc7ec9-1b3f-4d89-ade6-8ca2934c1695,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,1-Butene,AB603099-4D48-400D-946B-BEBA34464080,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Butene,deec5cec-4d8d-492a-9b0c-eab92dd55af8,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,2-Butene,516273CA-ACDD-497D-915F-B4DC34CA3577,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Butene,deec5cec-4d8d-492a-9b0c-eab92dd55af8,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,1-Butene,AB603099-4D48-400D-946B-BEBA34464080,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Butene,767a703f-842a-4b30-87f5-ca62b338a51d,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,2-Butene,516273CA-ACDD-497D-915F-B4DC34CA3577,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Butene,767a703f-842a-4b30-87f5-ca62b338a51d,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,1-Butene,AB603099-4D48-400D-946B-BEBA34464080,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,Butene,f2663c0c-3618-4095-b8d8-9c3b5c7097fb,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,1-Butene,AB603099-4D48-400D-946B-BEBA34464080,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,Butene,f2663c0c-3618-4095-b8d8-9c3b5c7097fb,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,2-Butene,516273CA-ACDD-497D-915F-B4DC34CA3577,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,Butene,f2663c0c-3618-4095-b8d8-9c3b5c7097fb,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,2-Butene,516273CA-ACDD-497D-915F-B4DC34CA3577,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,Butene,f2663c0c-3618-4095-b8d8-9c3b5c7097fb,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",46ECCF34-0E42-44F8-8AF1-46C7B439B85C,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Dimethylamine,56d00bcd-9da1-4486-bfe6-10dc0f1d4575,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",46ECCF34-0E42-44F8-8AF1-46C7B439B85C,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Dimethylamine,edf9fe90-37ee-4d8b-af9b-2e959422abfd,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",46ECCF34-0E42-44F8-8AF1-46C7B439B85C,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Dimethylamine,ca793a60-fdf5-4e53-9d75-b279d4a7e7c4,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",46ECCF34-0E42-44F8-8AF1-46C7B439B85C,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Dimethylamine,16bb633b-6a05-4f1a-8bab-9f4c121df099,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",46ECCF34-0E42-44F8-8AF1-46C7B439B85C,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,Dimethylamine,4aecbaff-32ae-4655-9587-db9337d0d350,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"2,4-D, dimethylamine salt",46ECCF34-0E42-44F8-8AF1-46C7B439B85C,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,Dimethylamine,4aecbaff-32ae-4655-9587-db9337d0d350,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Benzo(b,j,k)fluoranthene",1D005997-E625-4F80-89F2-7892217F179B,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Benzo(b)fluoranthene,35357464-0d86-4bbd-940f-7d0dd8e5df57,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"BTEX (Benzene, Toluene, Ethylbenzene, and Xylene), unspecified ratio",B71281D9-C2CE-492E-9D21-8B0E3A3554DE,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Benzene,28999907-a8a7-45b3-857e-836495ca2aa0,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"BTEX (Benzene, Toluene, Ethylbenzene, and Xylene), unspecified ratio",B71281D9-C2CE-492E-9D21-8B0E3A3554DE,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Benzene,1bb6a502-3ff9-4a79-835c-5588b855f1f5,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"BTEX (Benzene, Toluene, Ethylbenzene, and Xylene), unspecified ratio",B71281D9-C2CE-492E-9D21-8B0E3A3554DE,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Benzene,5e883a00-04e6-4d96-8dce-12d7117c6635,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"BTEX (Benzene, Toluene, Ethylbenzene, and Xylene), unspecified ratio",B71281D9-C2CE-492E-9D21-8B0E3A3554DE,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Benzene,8476d82a-4a17-4c08-8339-efd46c6518e7,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"BTEX (Benzene, Toluene, Ethylbenzene, and Xylene), unspecified ratio",B71281D9-C2CE-492E-9D21-8B0E3A3554DE,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,Benzene,eb15dd66-43ee-4161-ac90-2cd6d19ca72d,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"BTEX (Benzene, Toluene, Ethylbenzene, and Xylene), unspecified ratio",B71281D9-C2CE-492E-9D21-8B0E3A3554DE,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,Benzene,eb15dd66-43ee-4161-ac90-2cd6d19ca72d,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,79132F21-1EE8-4017-A5F0-FB2A6E7906B1,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Chromium,e142b577-e934-4085-9a07-3983d4d92afb,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,79132F21-1EE8-4017-A5F0-FB2A6E7906B1,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Chromium,7705f0e1-5b14-44f4-b330-1245b5c7fc08,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,79132F21-1EE8-4017-A5F0-FB2A6E7906B1,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Chromium,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,79132F21-1EE8-4017-A5F0-FB2A6E7906B1,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Chromium,6b29d83a-c43c-484c-8e73-474a8a22d71e,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,79132F21-1EE8-4017-A5F0-FB2A6E7906B1,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,Chromium,2a5ed451-12a2-47db-b4dc-fa0bfbc01d79,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Chromium III,79132F21-1EE8-4017-A5F0-FB2A6E7906B1,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,Chromium,2a5ed451-12a2-47db-b4dc-fa0bfbc01d79,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Ethane, 1,1,2-trifluoro-, HFC-143",A1EE7CD8-9D65-4CF8-BA39-16DF6033F897,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,"Ethane, 1,1,1-trifluoro-, HFC-143a",e86bfec2-1025-4fa2-90b1-81e35e621e91,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Ethane, 1,1,2-trifluoro-, HFC-143",A1EE7CD8-9D65-4CF8-BA39-16DF6033F897,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,"Ethane, 1,1,1-trifluoro-, HFC-143a",f43b2b80-f5a6-4d31-9980-0754305a978d,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Ethane, 1,1,2-trifluoro-, HFC-143",A1EE7CD8-9D65-4CF8-BA39-16DF6033F897,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,"Ethane, 1,1,1-trifluoro-, HFC-143a",5253e322-7de5-42aa-9167-daf22ff44031,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Ethane, 1,1,2-trifluoro-, HFC-143",A1EE7CD8-9D65-4CF8-BA39-16DF6033F897,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,"Ethane, 1,1,1-trifluoro-, HFC-143a",bf580c6b-1b4d-429d-bed7-1e335920941f,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Ethane, 1,1,2-trifluoro-, HFC-143",A1EE7CD8-9D65-4CF8-BA39-16DF6033F897,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,"Ethane, 1,1,1-trifluoro-, HFC-143a",5eb2d548-1694-496d-b3bd-a439984fca7d,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Ethane, 1,1,2-trifluoro-, HFC-143",A1EE7CD8-9D65-4CF8-BA39-16DF6033F897,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,"Ethane, 1,1,1-trifluoro-, HFC-143a",5eb2d548-1694-496d-b3bd-a439984fca7d,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,"Metolachlor, (S)",AC1539DD-6BFE-47F6-9DEC-5BCF9D32919C,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Metolachlor,b90c9726-20b9-4d44-b169-368273e9a3d4,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Nitrate compounds,B621C68A-36CA-433E-97B3-E47A770C065C,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Nitrate,5e7cf95c-9cc3-4479-89af-55377b3db99c,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Nitrate compounds,B621C68A-36CA-433E-97B3-E47A770C065C,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Nitrate,15ca802b-f541-44aa-bd33-35560a053193,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Nitrate compounds,B621C68A-36CA-433E-97B3-E47A770C065C,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Nitrate,cbd70647-6237-462a-9d01-d197a8b08506,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Nitrate compounds,B621C68A-36CA-433E-97B3-E47A770C065C,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Nitrate,205617ae-ebc5-4245-8df6-8710d5d40615,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Nitrate compounds,B621C68A-36CA-433E-97B3-E47A770C065C,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,Nitrate,0e9e6b81-0a68-4350-8368-566c083bd3e0,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,Nitrate compounds,B621C68A-36CA-433E-97B3-E47A770C065C,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,Nitrate,0e9e6b81-0a68-4350-8368-566c083bd3e0,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,p-Xylene,0A7B6C45-9E55-4B03-9C19-089DCF45C0E5,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Xylene,5c234628-ab1e-4284-ae2b-f1c2f6883f71,air/unspecified,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,p-Xylene,0A7B6C45-9E55-4B03-9C19-089DCF45C0E5,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Xylene,ed8da356-ed40-4a35-8de4-57aee1d3c279,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
SimaPro9.4,p-Xylene,0A7B6C45-9E55-4B03-9C19-089DCF45C0E5,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Xylene,a1d277aa-7aea-4b5e-8aa9-2789ba8ff333,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T23:20:04.433915+01:00,Automated match. Notebook: Match - Minor random name differences,,,
