SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Acrylate,3D3663F5-7A78-45C6-ABE1-609DB7FDA98C,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Acrylate, ion",233ed5ca-7df0-4cf6-9271-21459ecd5c23,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Acrylate,3D3663F5-7A78-45C6-ABE1-609DB7FDA98C,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Acrylate, ion",d18ec0cf-b4d2-43e6-abe2-19170a40659a,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Acrylate,3D3663F5-7A78-45C6-ABE1-609DB7FDA98C,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Acrylate, ion",6446e9ba-9cdd-410e-aae3-41d71d971750,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Acrylate,3D3663F5-7A78-45C6-ABE1-609DB7FDA98C,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Acrylate, ion",eabb67d6-08cc-4c6e-ad95-6509e778730a,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Acrylate,3D3663F5-7A78-45C6-ABE1-609DB7FDA98C,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Acrylate, ion",eabb67d6-08cc-4c6e-ad95-6509e778730a,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Acrylate,3D3663F5-7A78-45C6-ABE1-609DB7FDA98C,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Acrylate, ion",eabb67d6-08cc-4c6e-ad95-6509e778730a,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Acrylate,3D3663F5-7A78-45C6-ABE1-609DB7FDA98C,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Acrylate, ion",37f69770-85d0-4af3-a612-41e9d314f5bb,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Arsenic,665EA48D-DF6C-4213-911C-CDC2ACDE374D,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Arsenic, ion",1f607ae2-b42d-4411-90b8-e9bbac66a554,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Arsenic,665EA48D-DF6C-4213-911C-CDC2ACDE374D,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Arsenic, ion",e60edb16-3c74-415b-9aff-a22a6f49fecb,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Arsenic,665EA48D-DF6C-4213-911C-CDC2ACDE374D,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Arsenic, ion",d70b4182-d633-4178-84c0-8854f5f6594b,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
