SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,1-Butanol,447B3AD6-382A-4179-95D6-B78394FCEA06,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Butanol,b9a9b2ad-5db3-47aa-81de-3a48ae9ad4ec,air/unspecified,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,447B3AD6-382A-4179-95D6-B78394FCEA06,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Butanol,efc4290c-1404-4e01-8b5e-e75c6d90615c,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,447B3AD6-382A-4179-95D6-B78394FCEA06,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Butanol,cb299863-b63a-45ae-a3fc-b5cc900aaeea,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,447B3AD6-382A-4179-95D6-B78394FCEA06,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Butanol,f202452b-5aff-45e6-9001-5fb0a2de7992,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,447B3AD6-382A-4179-95D6-B78394FCEA06,Emissions to air/stratosphere + troposphere,kg,=,ecoinventEFv3.7,Butanol,b83f893c-f4b4-473f-bd13-a23fd300c5d1,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Butanol,447B3AD6-382A-4179-95D6-B78394FCEA06,Emissions to air/stratosphere,kg,=,ecoinventEFv3.7,Butanol,b83f893c-f4b4-473f-bd13-a23fd300c5d1,air/lower stratosphere + upper troposphere,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Propanol,66F524CE-C522-4E89-B956-A40596F607AD,Emissions to air/(unspecified),kg,=,ecoinventEFv3.7,Propanol,ff5d0fa9-6ca8-4e61-b99b-14981620c0d7,air/unspecified,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Propanol,66F524CE-C522-4E89-B956-A40596F607AD,Emissions to air/high. pop.,kg,=,ecoinventEFv3.7,Propanol,4a6af581-af93-4d79-9f45-a5c43f463bbb,air/urban air close to ground,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Propanol,66F524CE-C522-4E89-B956-A40596F607AD,Emissions to air/low. pop.,kg,=,ecoinventEFv3.7,Propanol,29bfab29-0ad0-47da-b5b9-a76328ba5a64,air/non-urban air or from high stacks,kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,1-Propanol,66F524CE-C522-4E89-B956-A40596F607AD,"Emissions to air/low. pop., long-term",kg,=,ecoinventEFv3.7,Propanol,ad3e6f24-22b0-4ca4-9f2c-f0f5f180f633,"air/low population density, long-term",kg,Chris Mutel,,2023-01-09T22:52:50.960257+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
