SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,2-Methyl-4-chlorophenoxyacetic acid,0F0AB1DE-A4BB-429D-A75B-EE60DFEBAEDF,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,MCPA,e5492922-eaf5-4409-aa49-7f2a35cd0336,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,"2,4-D, dimethylamine salt",EE987DD1-0C61-42F9-B392-A4B8F6C138DB,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,"2,4-D amines",0eba8639-12c1-40ce-b1b6-e3394ec94dc0,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,Acibenzolar-s-methyl,5EAE4591-92D9-412C-A5FA-1E984F408D12,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Acibenzolar-S-methyl,5b834f01-a5dd-5d6c-94cb-2f5d262d3ccf,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,"Benzene, pentachloronitro-",AE729AEA-5B49-4BF0-82B5-26265E5D49B4,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Quintozene,99f78a2c-48e3-492c-aa5a-ed0c2f24a1a0,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,Beta-cyfluthrin,4BEEC652-69CE-49A7-AF1F-668C14EAC394,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Cyfluthrin,dd786e61-d387-4dc4-8314-2a5f958e7168,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,"Butyric acid, 4-(2,4-dichlorophenoxy)-",861B3BA9-5879-477F-8100-1426DEB138C0,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,"2,4-DB",d051c442-f206-4d70-844d-7d44dbbc3d8e,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,"Carbamic acid, (3,4-diethoxyphenyl)-, 1-methylethyl ester",BE28CFDB-EAED-4AA6-AAF3-54A8C5E78646,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Diethofencarb,bd6facb4-c818-5e08-9260-a077eb711497,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,"Carbamic acid, [(dibutylamino)thio]methyl-, 2,3-dihydro-2,2-dimethyl-7-benzofuranyl ester",A5E1B82C-C37B-41F8-815C-952E049AFCE4,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Carbosulfan,e66d495d-aaf6-5709-9777-0da8ee74ca77,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,Chlortoluron,5C97A115-4718-4211-97B2-BD493EAAC02B,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,Chlorotoluron,e8bc4c9e-c34f-4983-aea0-2433f3397a3a,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
SimaPro9.4,"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-",E3C0E77F-7FE5-402D-B28D-EE512EEF3297,Emissions to soil/agricultural,kg,=,ecoinventEFv3.7,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",a7f661f4-da39-4571-a48b-a8d61314ce1b,soil/agricultural,kg,Chris Mutel,,2023-01-09T23:02:27.570418+01:00,Automated match. Notebook: Match missing by validated CAS numbers,,,
