Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
(+-)-Citronellol,026489-01-0,,(+-)-Citronellol,kg,Airborne emissions,Airborne emissions,F35E4F83-1F04-497B-809C-2A16DF0E0FF2,
"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",007534-94-3,,"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",kg,Airborne emissions,Airborne emissions,B213694E-013A-48D3-BF2E-F84E4CCD8A21,Formula: C14H22O2Synonyms: ISOBORNYL METHACRYLATE
"(1r,4r)-(+)-Camphor",000464-49-3,"C10H22OSynonyms: Amyl ether; Pentyl ether; Diamyl ether; Pentane, 1,1'-oxybis-","(1r,4r)-(+)-Camphor",kg,Airborne emissions,Airborne emissions,F6C290DF-A381-4186-9B88-956ACFA46C1A,
"(3,4-Diethyl-6-methyloctyl) acetate",108419-35-8,,"(3,4-Diethyl-6-methyloctyl) acetate",kg,Airborne emissions,Airborne emissions,F8BB169B-A08C-4C2E-B2DF-2D530CF0E768,Formula: C15H30O2Synonyms: OXO-TRIDECYL ACETATE
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",102687-65-0,,"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",kg,Airborne emissions,Airborne emissions,71923555-B270-4305-895C-83C1E48C73CE,
"(E)-1,1,1,4,4,4-Hexafluorobut-2-ene",,,"(E)-1,1,1,4,4,4-Hexafluorobut-2-ene",kg,Airborne emissions,Airborne emissions,C0E6F783-0A11-476C-BEEF-F54C4A250B91,Formula: C4H2F6
"(E)-1,2-Dichlorohexafluorocyclobutane",003832-15-3,"C10H17Cl2NOS Synonyms: 2,3-Dichloro-2-propene-1-thiol, diisopropylcarbamate; 2,3-DCDT; Avadex; DATC; DCDT","(E)-1,2-Dichlorohexafluorocyclobutane",kg,Airborne emissions,Airborne emissions,4AEA7678-F8BD-43BC-BC69-5EB06D4F603F,
"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",005595-10-8,,"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",kg,Airborne emissions,Airborne emissions,F559E97A-FDE6-4B29-A358-D8C268558A5E,
"(E)-1,3,3,3-Tetrafluoroprop-1-ene",29118-24-9,,"(E)-1,3,3,3-Tetrafluoroprop-1-ene",kg,Airborne emissions,Airborne emissions,A2BE4911-AEE5-4E76-BBBE-C523C7D3EA9A,Formula: C3H2F4
(E)-Hex-2-en-1-ol,000928-95-0,,(E)-Hex-2-en-1-ol,kg,Airborne emissions,Airborne emissions,7D762F20-A243-4773-9AD8-2806229D0D7F,Formula: C6H18OSi2
(E/Z)-1-chloro-2-fluoro-ethene,000460-16-2,C12H21N2O3PS ,(E/Z)-1-chloro-2-fluoro-ethene,kg,Airborne emissions,Airborne emissions,3F0DCFE4-8D8C-41C9-BB6C-F8A5071BB633,
(Perfluorobutyl)ethylene,019430-93-4,,(Perfluorobutyl)ethylene,kg,Airborne emissions,Airborne emissions,F4702951-6BB1-461A-9CFF-91C5903A7D39,
(Perfluoroctyl)ethylene,021652-58-4,C22H14 ,(Perfluoroctyl)ethylene,kg,Airborne emissions,Airborne emissions,C3B2B1D2-C855-462F-91C5-DA47D54A4A76,
(Perfluorohexyl)ethylene,025291-17-2,,(Perfluorohexyl)ethylene,kg,Airborne emissions,Airborne emissions,586ED75F-C8A3-4C6B-A435-06D84E5829B0,
"(Z)-1-Chloro-3,3,3-trifluoroprop-1-ene",099728-16-2,"C24H12O2Synonyms: 1',2',6',7'-dibenzpyrene-7,14-quinone; Dibenzo[b,def]chrysene-7,14-dione; C.I. 59100; C.I. vat yellow 4; golden yellow; helanthrene yellow; indanthren printing yellow; solanthrene brilliant yellow","(Z)-1-Chloro-3,3,3-trifluoroprop-1-ene",kg,Airborne emissions,Airborne emissions,B364BBFA-8E2B-450A-8054-9375C7C734E3,
"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",000692-49-9,C12H8OSynonyms: Diphenylene oxide; DBF,"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",kg,Airborne emissions,Airborne emissions,35C63787-8E8E-484A-9AEB-F75F1F11B06A,
"(Z)-1,2-Dichlorohexafluorocyclobutane",003934-26-7,C12HCl7O ,"(Z)-1,2-Dichlorohexafluorocyclobutane",kg,Airborne emissions,Airborne emissions,163FF291-646E-4F9E-B404-2654C741E5F0,
"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",005528-43-8,C12H2Cl6O ,"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",kg,Airborne emissions,Airborne emissions,92202DA8-B998-4E5F-A1CA-0682733ECEE1,
"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",029118-25-0,C12H3Cl5O ,"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",kg,Airborne emissions,Airborne emissions,8C883145-6221-4771-B8DE-EA3C17A29EB5,
