Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
(+-)-Citronellol,026489-01-0,,(+-)-Citronellol,kg,Emissions to soil,Emissions to soil,EF8A4232-791D-4208-BFB0-49FC1B70FF21,
"(1r,4r)-(+)-Camphor",000464-49-3,,"(1r,4r)-(+)-Camphor",kg,Emissions to soil,Emissions to soil,3C46849C-C250-4B42-97B5-2C71CE86C71F,
"(E,Z)-2,13-Octadecadienyl acetate",086252-65-5,,"(E,Z)-2,13-Octadecadienyl acetate",kg,Emissions to soil,Emissions to soil,07DE8512-C0E2-483D-B929-989333F778EB,
"(E,Z)-octadeca-3,13-dienyl acetate",053120-26-6,,"(E,Z)-octadeca-3,13-dienyl acetate",kg,Emissions to soil,Emissions to soil,FF7176CA-F215-4219-AF94-86103C5ED966,
(R)-2-(4-chloro-2-methylphenoxy)propionic acid,,,(R)-2-(4-chloro-2-methylphenoxy)propionic acid,kg,Emissions to soil,Emissions to soil,E9022D36-3687-4434-8C4C-CACBA2FD8FA5,
"[Cyano-[3-(phenoxy)phenyl]methyl] 2,2,3,3-tetramethylcyclopropane-1-carboxylate",064257-84-7,,"[Cyano-[3-(phenoxy)phenyl]methyl] 2,2,3,3-tetramethylcyclopropane-1-carboxylate",kg,Emissions to soil,Emissions to soil,F394F844-FD9B-4530-BB34-DBF69FBDEE72,Formula: C22H23NO3
1'-Acetoxysafrole,034627-78-6,,1'-Acetoxysafrole,kg,Emissions to soil,Emissions to soil,31B41F71-6233-4B07-B957-3678BB0D1204,No formula available
1'-Hydroxyestragole,051410-44-7,,1'-Hydroxyestragole,kg,Emissions to soil,Emissions to soil,1DEBD2A4-548F-4DDD-B50B-001B08D5433E,No formula available
1'-Hydroxysafrole,005208-87-7,,1'-Hydroxysafrole,kg,Emissions to soil,Emissions to soil,65804009-317E-46CC-93AF-EA2C464F871E,No formula available
1-(2-Naphthalenyl)ethanone,000093-08-3,,1-(2-Naphthalenyl)ethanone,kg,Emissions to soil,Emissions to soil,4C528639-E938-4F5B-8269-03CDC7DD7321,
"1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",004080-31-3,,"1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",kg,Emissions to soil,Emissions to soil,C1EA26B3-8D64-425E-A9D9-EA9818960B26,"Formula: C9H16Cl2N4 Synonyms: 1-(3-Chloro-2-propenyl)-3,5,7-triaza-1-azoniatricyclo[3.3.1.1(3,7)]decane chloride; cis-N-(3-chloroallyl)hexaminium chloride; Dowicide Q; Hexamethylenetetramine chloroallyl chloride"
1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate,010473-70-8,,1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate,kg,Emissions to soil,Emissions to soil,0429B72B-923A-42C4-9CE1-B4ADCCAA340F,
1-[bis(2-Hydroxypropyl)amino]propan-2-ol,000122-20-3,,1-[bis(2-Hydroxypropyl)amino]propan-2-ol,kg,Emissions to soil,Emissions to soil,2BE0D858-83D9-4F31-9C93-8FFDCFA296E0,
1-Amino-2-propanol,000078-96-6,,1-Amino-2-propanol,kg,Emissions to soil,Emissions to soil,46885F9B-76AE-47E9-89C8-41DF37EAF77F,
"1-amino-2,4-dibromoanthraquinone",000081-49-2,,"1-amino-2,4-dibromoanthraquinone",kg,Emissions to soil,Emissions to soil,EA2AFD77-3490-4ED7-A010-2D56940E6C5D,
