Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
Aluminium waste,,,Aluminium waste,kg,Final waste flows,Final waste flows,EB0A5FF8-EC77-4FFF-852F-D6108053C5BB,
Asbestos,,,Asbestos,kg,Final waste flows,Final waste flows,D93A309D-8C76-4D4F-8D0C-9C3C14BA5461,
Asphalt waste,,,Asphalt waste,kg,Final waste flows,Final waste flows,68C221AC-FAFB-4B3C-BAA6-4BDD8F85BD65,
"Bauxite residue, from aluminium production",,,"Bauxite residue, from aluminium production",kg,Final waste flows,Final waste flows,77070E55-CDD9-4330-BDA1-78020E232885,
Bilge oil,,,Bilge oil,kg,Final waste flows,Final waste flows,CE335478-B89E-4984-A199-B3CCEE1223AD,
Bitumen waste,,,Bitumen waste,kg,Final waste flows,Final waste flows,3E49D3D1-6A41-4BD8-886A-D226E745FDFA,
"Bulk waste, unspecified",,,"Bulk waste, unspecified",kg,Final waste flows,Final waste flows,727308DE-12F4-4C28-AAAF-B90766418861,
Calcium fluoride waste,,,Calcium fluoride waste,kg,Final waste flows,Final waste flows,88D94DED-39AF-4EF4-A46D-024F73C51715,
Carcass meal,,,Carcass meal,kg,Final waste flows,Final waste flows,A3BEA3EB-7DF9-47DA-8A3F-3225EF0D094C,
Cardboard waste,,,Cardboard waste,kg,Final waste flows,Final waste flows,738A747E-ABDB-4EE6-BF1D-5D204309DC10,
Carton waste,,,Carton waste,kg,Final waste flows,Final waste flows,2857B23F-CE0B-470A-A480-97927B56895A,
Catalyst waste,,,Catalyst waste,kg,Final waste flows,Final waste flows,2BE2890B-E78B-4C2B-ABBD-D4D78B691985,
Cathode iron ingots waste,,,Cathode iron ingots waste,kg,Final waste flows,Final waste flows,44E7BC5F-17AB-4134-B31B-948C52EDB22E,
Cathode loss,,,Cathode loss,kg,Final waste flows,Final waste flows,5A26AF7A-E7B7-4419-8F10-D7AFA551E6FE,
"Chemical waste, hazardous",,,"Chemical waste, hazardous",kg,Final waste flows,Final waste flows,94014BCF-52E5-4DBE-9138-589BEF2C6313,
"Chemical waste, inert",,,"Chemical waste, inert",kg,Final waste flows,Final waste flows,A7A1B532-248D-4E31-B5DF-CE5EC15733F1,
"Chemical waste, regulated",,,"Chemical waste, regulated",kg,Final waste flows,Final waste flows,F34D0B5C-3583-449A-B0D4-1F06F60C7686,
"Chemical waste, unspecified",,,"Chemical waste, unspecified",kg,Final waste flows,Final waste flows,4A940416-94F3-459F-A424-FCB0FFD57347,
Chromium waste,,,Chromium waste,kg,Final waste flows,Final waste flows,DE02B949-D98C-4960-8614-A2604D64874C,
Coal ash,,,Coal ash,kg,Final waste flows,Final waste flows,5AF91BA7-DAFD-4791-B970-D16707153A3F,
Coal tailings,,,Coal tailings,kg,Final waste flows,Final waste flows,EA1C84C1-8871-4270-88E9-CE052C166586,
Compost,,,Compost,kg,Final waste flows,Final waste flows,56E12902-79F5-4F4D-9A7D-D08304334172,
Construction waste,,,Construction waste,kg,Final waste flows,Final waste flows,E59246BA-FEE4-4290-A0B4-1815B18E760D,
Copper absorbent waste,,,Copper absorbent waste,kg,Final waste flows,Final waste flows,B42F123D-71C8-4E24-A0B4-851626D43170,
Copper waste,,,Copper waste,kg,Final waste flows,Final waste flows,254573AD-94C8-4534-BC65-FCA79C1D0E80,
"Demolition waste, unspecified",,,"Demolition waste, unspecified",kg,Final waste flows,Final waste flows,B81C3F80-1B7F-471C-987B-60217AEAA185,
Dross,,,Dross,kg,Final waste flows,Final waste flows,B86FA00D-B5F6-447E-B24A-47E3C8079C1B,
Dross for recycling,,,Dross for recycling,kg,Final waste flows,Final waste flows,0C3B4DEA-F12D-455B-8186-437079802E34,
"Dust, break-out",,,"Dust, break-out",kg,Final waste flows,Final waste flows,891CA09B-6EFD-49D3-B574-A8FC2D94F03F,
"Dust, unspecified",,,"Dust, unspecified",kg,Final waste flows,Final waste flows,E9CDE268-0DB5-480D-B08B-FE24D83A4CC1,
E-saving bulb plastic waste,,,E-saving bulb plastic waste,kg,Final waste flows,Final waste flows,197FF573-4E21-4B87-96DC-4A1216A8DEA2,
E-saving bulb waste,,,E-saving bulb waste,kg,Final waste flows,Final waste flows,CE08966F-7716-4571-9733-0BFE52978F09,
Electronic waste,,,Electronic waste,kg,Final waste flows,Final waste flows,EFBF2983-8830-4605-978B-1A9A34DD653D,
Electrostatic filter dust,,,Electrostatic filter dust,kg,Final waste flows,Final waste flows,07E5DF50-C3B2-4314-AE3F-7F94ED293AD2,
Fluoride waste,,,Fluoride waste,kg,Final waste flows,Final waste flows,B3CD5543-9778-4BD3-8E8D-168601812D74,
Fly ash,,,Fly ash,kg,Final waste flows,Final waste flows,1048D751-B4EA-4CFA-8653-D095F87203F7,
Gas pipe waste,,,Gas pipe waste,kg,Final waste flows,Final waste flows,1CC0AD49-6A81-47CD-836D-592A411683A5,
Glass waste,,,Glass waste,kg,Final waste flows,Final waste flows,88CA0E25-8815-4765-AFB4-4152042081E1,
"Hazardous waste, incineration",,,"Hazardous waste, incineration",kg,Final waste flows,Final waste flows,11BF88D6-CEA0-4C5B-BF41-C4AB984F7B1B,
"Hazardous waste, landfill",,,"Hazardous waste, landfill",kg,Final waste flows,Final waste flows,2229572E-B92D-411C-A59C-D7F47E17D836,
"Hazardous waste, recovery",,,"Hazardous waste, recovery",kg,Final waste flows,Final waste flows,B52520D0-3A43-4A99-AE25-A340090DC637,
"Hazardous waste, unspecified treatment",,,"Hazardous waste, unspecified treatment",kg,Final waste flows,Final waste flows,D848CEBC-4002-430E-AB9F-B77AE1DBBB73,
"Insulation, asbestos containing",,,"Insulation, asbestos containing",kg,Final waste flows,Final waste flows,0ABDD15A-D202-48D7-94EC-B1B50C970E81,
Ion exchanger sludge,,,Ion exchanger sludge,kg,Final waste flows,Final waste flows,7BE9AF61-60B5-40A7-B09A-4694818909DD,
Iron waste,,,Iron waste,kg,Final waste flows,Final waste flows,B1AC8481-D501-4D08-A5D6-50556461D4AC,
Jacket and body material,,,Jacket and body material,kg,Final waste flows,Final waste flows,13B4D2C4-46E0-4FF9-9C25-56130F6FF2BB,
Jarosite,,,Jarosite,kg,Final waste flows,Final waste flows,1321DF6F-DE02-4792-BC79-0049B44C1676,
Light bulb waste,,,Light bulb waste,kg,Final waste flows,Final waste flows,3DC4FE1D-E739-458D-83B8-E0680545CA12,
"Light bulb waste, mercury containing",,,"Light bulb waste, mercury containing",kg,Final waste flows,Final waste flows,8A4F7D7B-A34A-4A19-8560-E60677CCE685,
Limestone waste,,,Limestone waste,kg,Final waste flows,Final waste flows,7E6A69E6-552E-4836-BD24-2B26EC3E7586,
Metal waste,,,Metal waste,kg,Final waste flows,Final waste flows,4EC7DB3C-8514-4055-8747-E808EACB0C2D,
Mineral waste,,,Mineral waste,kg,Final waste flows,Final waste flows,55A2BD90-4FAB-4FCD-BB5D-7187A0EE37A8,
"Mineral waste, from mining",,,"Mineral waste, from mining",kg,Final waste flows,Final waste flows,9F2FCEA0-F1F5-46FD-B875-0816F4E1C20F,
Mineral wool waste,,,Mineral wool waste,kg,Final waste flows,Final waste flows,A2B6DF93-1EC4-4322-A06B-55931D1D4D89,
"Municipal waste, unspecified",,,"Municipal waste, unspecified",kg,Final waste flows,Final waste flows,D37DC67B-E292-4502-B4E3-8929043273A6,
"Non-hazardous waste, incineration",,,"Non-hazardous waste, incineration",kg,Final waste flows,Final waste flows,26546512-DE62-4968-9D40-E725050E598F,
"Non-hazardous waste, landfill",,,"Non-hazardous waste, landfill",kg,Final waste flows,Final waste flows,757A8AC2-35E1-4DB2-8CBF-5FF3EACC17DE,
"Non-hazardous waste, recovery",,,"Non-hazardous waste, recovery",kg,Final waste flows,Final waste flows,65C4DDB8-38BC-435C-819B-6901129BC662,
"Non-hazardous waste, unspecified treatment",,,"Non-hazardous waste, unspecified treatment",kg,Final waste flows,Final waste flows,4879667D-6DEB-4BD1-A3AD-57740D4438C2,
Oil separator sludge,,,Oil separator sludge,kg,Final waste flows,Final waste flows,D1DE1420-BDDC-45B2-B627-A20545D6DE8C,
Oil waste,,,Oil waste,kg,Final waste flows,Final waste flows,426DC928-6E32-4132-AF5F-62C89594D0BC,
Overburden (deposited),,,Overburden (deposited),kg,Final waste flows,Final waste flows,C790C8B7-1431-456C-A445-605D7D781695,
"Packaging waste, contaminated",,,"Packaging waste, contaminated",kg,Final waste flows,Final waste flows,61B58F87-6ECE-4DB8-91C6-3AF045EB4177,
"Packaging waste, metal",,,"Packaging waste, metal",kg,Final waste flows,Final waste flows,B01DF4A9-5F39-4216-ABA0-53909FF96ED9,
"Packaging waste, paper and board",,,"Packaging waste, paper and board",kg,Final waste flows,Final waste flows,8D5AB744-B84A-4979-8B0F-C313A3D63AF2,
"Packaging waste, plastic",,,"Packaging waste, plastic",kg,Final waste flows,Final waste flows,B277EFAD-50C2-4B61-A000-9BC27454D52E,
"Packaging waste, steel",,,"Packaging waste, steel",kg,Final waste flows,Final waste flows,5075A069-E0E8-4429-BC76-A9CFE0CFE58F,
"Packaging waste, unspecified",,,"Packaging waste, unspecified",kg,Final waste flows,Final waste flows,06A0AE3E-0F60-464C-A821-445ECD16751F,
"Packaging waste, wood",,,"Packaging waste, wood",kg,Final waste flows,Final waste flows,6FB5A17C-1324-41F2-935B-ACE04A59C14D,
Paint waste,,,Paint waste,kg,Final waste flows,Final waste flows,0707C3E8-BD77-4DA7-BFB5-393D16395161,
Photovoltaic cell waste,,,Photovoltaic cell waste,kg,Final waste flows,Final waste flows,55BEA540-986C-4361-8540-E1D96C7C5EDB,
Photovoltaic panel waste,,,Photovoltaic panel waste,kg,Final waste flows,Final waste flows,37AA9E7D-9E79-4C5F-9BE2-E8E09F849281,
Photovoltaic production waste,,,Photovoltaic production waste,kg,Final waste flows,Final waste flows,16AA31FD-1A71-4B1C-BA3F-9C8C6DCFE365,
Photovoltaic/EVA cell waste,,,Photovoltaic/EVA cell waste,kg,Final waste flows,Final waste flows,1EF96152-5457-4E89-BC3A-81255DFFEFF7,
Plastic waste,,,Plastic waste,kg,Final waste flows,Final waste flows,FD7EE365-C8DC-4CFE-9840-67F7380BF908,
Polyethylene waste,,,Polyethylene waste,kg,Final waste flows,Final waste flows,EE69F45B-A8EA-41BC-AD6A-1491CB5D0B1F,
Polystyrene waste,,,Polystyrene waste,kg,Final waste flows,Final waste flows,9828673F-7F5B-42A7-AD5D-3FF335105030,
Polyvinyl chloride waste,,,Polyvinyl chloride waste,kg,Final waste flows,Final waste flows,39DF7D26-F34C-40EE-917E-165015277CDA,
Printed circuitboards waste,,,Printed circuitboards waste,kg,Final waste flows,Final waste flows,CBCCBC57-A4DC-416B-A2FE-7907BB183CC2,
Process waste,,,Process waste,kg,Final waste flows,Final waste flows,9294121B-FCA7-496E-83FF-4D2915448127,
Production waste,,,Production waste,kg,Final waste flows,Final waste flows,CAE01F26-76F1-4B2D-9274-D3F757AE4339,
"Production waste, not inert",,,"Production waste, not inert",kg,Final waste flows,Final waste flows,41FFA3B6-D869-42D1-A144-8B6AD47743A6,
Propylene glycol waste,,,Propylene glycol waste,kg,Final waste flows,Final waste flows,AC70E66B-82FD-4F9A-B290-F910354CECA1,
Radioactive tailings,,,Radioactive tailings,kg,Final waste flows,Final waste flows,B81746EB-7DC8-4A32-92A8-A02F691EC921,
Radioactive waste,,,Radioactive waste,kg,Final waste flows,Final waste flows,7C687A01-5059-4EAB-AAC7-A25D539C4726,
Red mud,,,Red mud,kg,Final waste flows,Final waste flows,64DA95E4-2FC2-4D4B-AD2C-B61CF808C264,
Refinery sludge,,,Refinery sludge,kg,Final waste flows,Final waste flows,E70AE96B-5A94-403E-B941-2AD02767E614,
Refractory,,,Refractory,kg,Final waste flows,Final waste flows,7B2A4383-704E-4420-A43C-0A90E84D596A,
Rejects,,,Rejects,kg,Final waste flows,Final waste flows,20D193AC-A39E-4FB5-80C6-F28206BA22F9,
"Rejects, corrugated cardboard",,,"Rejects, corrugated cardboard",kg,Final waste flows,Final waste flows,BEF0321A-232B-4478-9C18-33086C8111C2,
Residues,,,Residues,kg,Final waste flows,Final waste flows,9D1CCEC0-2297-40B3-920E-8671D8904EFC,
Secondary fuel,,,Secondary fuel,MJ,Final waste flows,Final waste flows,01A3152A-3342-47F0-9CA5-88F716210226,
Secondary fuel renewable,,,Secondary fuel renewable,MJ,Final waste flows,Final waste flows,AEA21977-8B89-4D8D-B531-2B071ACF7900,
Sewage waste,,,Sewage waste,kg,Final waste flows,Final waste flows,3872A250-73FB-4491-90FF-FFBADCAA0879,
Slag (uranium conversion),,,Slag (uranium conversion),kg,Final waste flows,Final waste flows,41F67FFE-D889-4FD1-9CD8-2A4E3B728C84,
Slags,,,Slags,kg,Final waste flows,Final waste flows,558F5AE1-1948-4A57-8B64-F83B6A3BDC26,
Slags and ashes,,,Slags and ashes,kg,Final waste flows,Final waste flows,648126F0-A32C-409A-9B4E-552410083F2E,
"Slags and ashes, contaminated",,,"Slags and ashes, contaminated",kg,Final waste flows,Final waste flows,8B327D7B-D1FC-4FDB-8FFD-FA4BFA7F5F98,
Sludge,,,Sludge,kg,Final waste flows,Final waste flows,5DDF2C55-1AA8-40EB-AC18-5D6DBB9AF6A0,
"Sludge, hazardous",,,"Sludge, hazardous",kg,Final waste flows,Final waste flows,A08BA037-B3DF-41FB-92EF-F636CAB4A6B4,
"Soil, contaminated",,,"Soil, contaminated",kg,Final waste flows,Final waste flows,49077F25-4465-4F15-A7E0-E2AB546250B3,
Soot,,,Soot,kg,Final waste flows,Final waste flows,88EE4FF0-4DB6-4676-AD76-B3A044EB7C52,
"Spoil, unspecified",,,"Spoil, unspecified",kg,Final waste flows,Final waste flows,7D4D20FA-6901-465B-959D-6D4DB1C33F22,
Steel waste,,,Steel waste,kg,Final waste flows,Final waste flows,9B4ED272-A79A-475E-A7E2-67224E08B3A1,
Stones and rubble,,,Stones and rubble,kg,Final waste flows,Final waste flows,AB96C3C7-91EC-4B54-A8E2-C7D4BDFFDF95,
"Tailings, unspecified",,,"Tailings, unspecified",kg,Final waste flows,Final waste flows,68350F74-16E8-45AB-A183-65E6D510455B,
Tin waste,,,Tin waste,kg,Final waste flows,Final waste flows,5126557C-00F2-49E5-A9A9-7D67A33360A7,
Tinder from rolling drum,,,Tinder from rolling drum,kg,Final waste flows,Final waste flows,E69AB859-0535-411E-9E5F-4F114C4A7569,
"Unspecified waste, landfill",,,"Unspecified waste, landfill",kg,Final waste flows,Final waste flows,A3DA320E-B4BD-4631-BE7A-D11D59DB87DC,
"Unspecified waste, unspecified treatment",,,"Unspecified waste, unspecified treatment",kg,Final waste flows,Final waste flows,419C0156-C722-4576-BED7-E47986EB099B,
Waste in bioactive landfill,,,Waste in bioactive landfill,kg,Final waste flows,Final waste flows,F3C7589B-7355-4A8F-A0D8-03BA9B7631F0,
Waste in incineration,,,Waste in incineration,kg,Final waste flows,Final waste flows,6D8396B9-A278-4726-BAB2-0781B38D4C8C,
Waste in inert landfill,,,Waste in inert landfill,kg,Final waste flows,Final waste flows,14A26C91-B5DA-4752-B756-1B7A34EB849B,
