Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
Air,132259-10-0,,Air,kg,Raw materials,Raw materials,09336180-36F4-4389-9F51-1548DF956B24,
Animal matter,,,Animal matter,kg,Raw materials,Raw materials,3AEDBE91-F73E-4283-ABDC-F5EFD119E784,
Anodes (used),,,Anodes (used),kg,Raw materials,Raw materials,94E06690-B8CA-4643-85B6-B93D65ABD3AB,
Antimonite,,,Antimonite,kg,Raw materials,Raw materials,2682A1CB-481E-4D13-B349-A470861A2837,
Apatite,,,Apatite,kg,Raw materials,Raw materials,F1048BEF-39C8-4FAE-8782-140B84F6CF3C,
Argon,007440-37-1,Ar,Argon,kg,Raw materials,Raw materials,C3605DBE-42B4-4DA1-8211-9081B7CA1B98,
Barite,013462-86-7,BaSO4,Barite,kg,Raw materials,Raw materials,337FFABF-B9F5-4FCF-9F61-09D905A15AFD,
Bauxite,001318-16-7,"Al, Fe, O, OH ",Bauxite,kg,Raw materials,Raw materials,4C6185DF-504A-47BF-B127-59C2069B91C7,
Biomass,,,Biomass,kg,Raw materials,Raw materials,D12BA322-D469-41F1-AF9D-AE05B119AFA6,
"Biomass, feedstock",,,"Biomass, feedstock",MJ,Raw materials,Raw materials,906167F1-AECF-44A6-B206-CE8AD947D9FC,
Bromine,010097-32-2,Br,Bromine,kg,Raw materials,Raw materials,5D0440C5-2681-4054-9921-8C234157F144,
Calcium sulfate,007778-18-9,CaSO4,Calcium sulfate,kg,Raw materials,Raw materials,D783AFF6-CDD6-41FF-B1B8-AE926C71CA1E,
Carbon,,,Carbon,kg,Raw materials,Raw materials,B9795222-AF33-4F34-A16C-FD060714F467,
"Carbon dioxide, non-fossil, resource correction",000124-38-9,,"Carbon dioxide, non-fossil, resource correction",kg,Raw materials,Raw materials,889E2211-3741-4FBB-830D-7F2237E61F6A,"Flow introduced by ecoinvent to transparently correct imbalance in biogenic carbon, caused by economic allocation. It is characterized in methods, which give biogenic carbon factor different than 0."
Cesium,007440-46-2,Cs,Cesium,kg,Raw materials,Raw materials,0DF20014-9C63-415E-8D6F-E17EC782C33A,
Chemical and fertilizer minerals,,,Chemical and fertilizer minerals,ton,Raw materials,Raw materials,F166876A-92B5-4AF9-8332-ADBF1B6B56E5,
Chlorine,022537-15-1,Cl,Chlorine,kg,Raw materials,Raw materials,54DAA03F-8DAB-4273-8874-54D01FA4FFF1,
Chromium ore,,,Chromium ore,kg,Raw materials,Raw materials,FEA32988-CD65-4181-9F56-E7C61DF5E006,
"Clay, ball",,,"Clay, ball",kg,Raw materials,Raw materials,5153184C-9126-46B8-8BE1-1ECC967E3BA3,
"Clay, fire",,,"Clay, fire",kg,Raw materials,Raw materials,3CF948C5-2A03-4E7E-BDDA-FB10535E6470,
"Coal, 18 MJ per kg",,,"Coal, 18 MJ per kg",kg,Raw materials,Raw materials,8A23E8AE-9D54-4BCB-BEA8-0D65620D6F9D,Higher heating value (HHV): 18.9 MJ/kgLower heating value (LHV): 18 MJ/kg
"Coal, bituminous, 24.8 MJ per kg",,,"Coal, bituminous, 24.8 MJ per kg",kg,Raw materials,Raw materials,4E230376-C4F5-4487-BD03-85C7909FF598,Higher heating value (HHV): 26.1 MJ/kgLower heating value (LHV): 24.8 MJ/kg
"Coal, brown, 10 MJ per kg",,,"Coal, brown, 10 MJ per kg",kg,Raw materials,Raw materials,451475C9-8BD3-4C7B-81F8-C6BA2CAD0B68,Higher heating value (HHV): 11.3 MJ/kgLower heating value (LHV): 10 MJ/kg
"Coal, brown, 8 MJ per kg",,,"Coal, brown, 8 MJ per kg",kg,Raw materials,Raw materials,051C0752-2B47-45D6-9A1C-F3983D3C9831,Higher heating value (HHV): 9.05 MJ/kgLower heating value (LHV): 8.00 MJ/kg
"Coal, feedstock, 26.4 MJ per kg",,,"Coal, feedstock, 26.4 MJ per kg",kg,Raw materials,Raw materials,613B0972-6197-40D0-84B9-CBEE636F1704,Higher heating value (HHV): 27.8 MJ/kgLower heating value (LHV): 26.4 MJ/kg
"Coal, hard",,,"Coal, hard",kg,Raw materials,Raw materials,CADAC617-0123-4544-8732-DA547585C2BC,Synonyms: Anthracite; Hard coalHigher heating value (HHV): 19.1 MJ/kgLower heating value (LHV): 18.2 MH/kg
"Coal, hard, 30.7 MJ per kg",,,"Coal, hard, 30.7 MJ per kg",kg,Raw materials,Raw materials,65FC3C51-77C2-4615-A30F-DC461B13C664,Higher heating value (HHV): 32.3 MJ/kgLower heating value (LHV): 30.7 MJ/kg
Copper ore,,,Copper ore,kg,Raw materials,Raw materials,56BD6921-4EF0-4C89-957D-CEA8C28F02AB,
"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore",007440-50-8,Cu,"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore",kg,Raw materials,Raw materials,6477375F-7CF4-4EE0-8538-5B4546BBD173,
"Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore",007440-50-8,Cu,"Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore",kg,Raw materials,Raw materials,EAF7A439-C4E5-487B-B623-46149F841FE8,
"Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore",007440-50-8,Cu,"Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore",kg,Raw materials,Raw materials,00D43FB1-CFA5-485C-81FD-4587347EFBFF,
"Diamond, industrial",,,"Diamond, industrial",kg,Raw materials,Raw materials,F3B68A60-331B-4060-A6F9-1C45FF8553FE,
"Energy, from biomass",,,"Energy, from biomass",MJ,Raw materials,Raw materials,FCA0051B-27C7-4C09-A770-0F3CA0EA236C,
"Energy, from coal",,,"Energy, from coal",MJ,Raw materials,Raw materials,976B1DE9-CA12-4717-B65B-45AC61523CAD,
"Energy, from coal, brown",,,"Energy, from coal, brown",MJ,Raw materials,Raw materials,87C6E701-BD96-4B9B-BB40-4B0A9857EDF0,Synonyms: Energy from lignite
"Energy, from gas, natural",,,"Energy, from gas, natural",MJ,Raw materials,Raw materials,B229BF94-A6F9-4BB1-8350-6A931A9587C3,
"Energy, from hydro power",,,"Energy, from hydro power",MJ,Raw materials,Raw materials,8BB208F9-5AC2-45BF-B4EF-FFD082AE5FA4,
"Energy, from hydrogen",,,"Energy, from hydrogen",MJ,Raw materials,Raw materials,FF0FDC4B-B82F-423C-B7AD-F2280332456B,
"Energy, from oil",,,"Energy, from oil",MJ,Raw materials,Raw materials,7EF91E26-32DF-4BC0-993F-CBDB9FD78E32,
"Energy, from oil sand (10% bitumen)",,,"Energy, from oil sand (10% bitumen)",MJ,Raw materials,Raw materials,76328E06-0D30-42A6-8E09-78CB4FCA96DA,
"Energy, from oil sand (100% bitumen)",,,"Energy, from oil sand (100% bitumen)",MJ,Raw materials,Raw materials,36BC2565-41EF-4BCB-A2B6-BB76A8FAF56A,
"Energy, from peat",,,"Energy, from peat",MJ,Raw materials,Raw materials,2931BDDC-CD32-49CA-BA3F-D1F042A802AE,
"Energy, from pit methane",,,"Energy, from pit methane",MJ,Raw materials,Raw materials,2094112F-7EB1-4F86-8335-B3BA2FF2B8BE,
"Energy, from sulfur",,,"Energy, from sulfur",MJ,Raw materials,Raw materials,D91C375A-99C7-4E79-BD22-3D307A9A55A0,
"Energy, from uranium",,,"Energy, from uranium",MJ,Raw materials,Raw materials,ED2C8071-9649-447D-91BC-22CCDB2FA93D,
"Energy, from wood",,,"Energy, from wood",MJ,Raw materials,Raw materials,E81FE9EF-36CE-452C-BE65-90DCAAEC64DB,
"Energy, geothermal",,,"Energy, geothermal",MJ,Raw materials,Raw materials,426682DA-8473-471B-A0B1-85F55BD8AC95,
"Energy, recovered",,,"Energy, recovered",MJ,Raw materials,Raw materials,C07354C1-1837-4743-B6CA-BF6CCC6C6F00,
"Energy, unspecified",,,"Energy, unspecified",MJ,Raw materials,Raw materials,45AB6A85-3297-4663-8F05-8860E3769B6A,
Ferromanganese,012604-53-4,,Ferromanganese,kg,Raw materials,Raw materials,8190FB3F-F54E-40AC-B0D8-DBAFBB395CAF,
"Fish, alaska pollock (=walleye poll.), theragra chalcogramma, in ocean",,,"Fish, alaska pollock (=walleye poll.), theragra chalcogramma, in ocean",kg,Raw materials,Raw materials,4C270569-F762-4BAB-8E9D-790DCCFF6229,
"Fish, anchoveta (=peruvian anchovy), engraulis ringens, in ocean",,,"Fish, anchoveta (=peruvian anchovy), engraulis ringens, in ocean",kg,Raw materials,Raw materials,5E2A38AD-FA9D-4B90-B0EC-7922F9A5770A,
"Fish, atlantic cod, gadus morhua, in ocean",,,"Fish, atlantic cod, gadus morhua, in ocean",kg,Raw materials,Raw materials,AD81B428-2DE6-48B5-BFE3-596568A27758,
"Fish, atlantic herring, clupea harengus, in ocean",,,"Fish, atlantic herring, clupea harengus, in ocean",kg,Raw materials,Raw materials,E90EA5FF-99B0-4177-A0FA-EBE7ABA5F138,
