Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
(+-)-Citronellol,026489-01-0,,(+-)-Citronellol,kg,Waterborne emissions,Waterborne emissions,F058B788-3766-4A31-8213-408D5B4CBA2C,
"(1r,4r)-(+)-Camphor",000464-49-3,,"(1r,4r)-(+)-Camphor",kg,Waterborne emissions,Waterborne emissions,C9E3BC1B-8B33-4426-9D62-C6B9A783F450,
"[Cyano-[3-(phenoxy)phenyl]methyl] 2,2,3,3-tetramethylcyclopropane-1-carboxylate",064257-84-7,,"[Cyano-[3-(phenoxy)phenyl]methyl] 2,2,3,3-tetramethylcyclopropane-1-carboxylate",kg,Waterborne emissions,Waterborne emissions,FE8A87A5-29BE-4B93-86D5-431717CD73A6,Formula: C22H23NO3
1'-Acetoxysafrole,034627-78-6,,1'-Acetoxysafrole,kg,Waterborne emissions,Waterborne emissions,7D531967-715A-4B93-B26C-5006CA72ECCD,No formula available
1'-Hydroxyestragole,051410-44-7,,1'-Hydroxyestragole,kg,Waterborne emissions,Waterborne emissions,743E9B15-EE23-4BE0-BFCA-47C158FED2AD,No formula available
1'-Hydroxysafrole,005208-87-7,,1'-Hydroxysafrole,kg,Waterborne emissions,Waterborne emissions,136BA16A-C4E4-42C7-A9B1-0903FD8B2BD6,No formula available
1-(2-Naphthalenyl)ethanone,000093-08-3,,1-(2-Naphthalenyl)ethanone,kg,Waterborne emissions,Waterborne emissions,CE6333C0-B553-49EA-964D-BB31223C484E,
"1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",004080-31-3,,"1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",kg,Waterborne emissions,Waterborne emissions,6C4ED33C-AF92-49EB-8BCD-49D925D093A1,"Formula: C9H16Cl2N4 Synonyms: 1-(3-Chloro-2-propenyl)-3,5,7-triaza-1-azoniatricyclo[3.3.1.1(3,7)]decane chloride; cis-N-(3-chloroallyl)hexaminium chloride; Dowicide Q; Hexamethylenetetramine chloroallyl chloride"
1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate,010473-70-8,,1-(4-chlorophenyl)-1-phenyl-2-propynyl carbamate,kg,Waterborne emissions,Waterborne emissions,559E9AE0-E278-49A3-BE2B-F306CDAAD765,
1-[bis(2-Hydroxypropyl)amino]propan-2-ol,000122-20-3,,1-[bis(2-Hydroxypropyl)amino]propan-2-ol,kg,Waterborne emissions,Waterborne emissions,C6DD59E8-15C3-4197-9D32-EE3B03753894,
1-Amino-2-propanol,000078-96-6,,1-Amino-2-propanol,kg,Waterborne emissions,Waterborne emissions,02DF69AD-D120-4449-97B9-11D4E03BD1D6,
"1-amino-2,4-dibromoanthraquinone",000081-49-2,,"1-amino-2,4-dibromoanthraquinone",kg,Waterborne emissions,Waterborne emissions,7BEA839B-52AE-4C48-97AC-926D09F59729,
"1-Aminopropane-1,3-dicarboxylic acid",000056-86-0,,"1-Aminopropane-1,3-dicarboxylic acid",kg,Waterborne emissions,Waterborne emissions,1A54AFDC-7538-4C13-8C39-6CABFFCEA8C0,"Chemical formula: C5H9NO4synonyms: Glutamic-acid; alpha-Aminoglutaric acid; L-2-Aminoglutaric acid; 1-Aminopropane-1,3-dicarboxylic acid; Glusate; Glutacid; alpha-Glutamic acid; L-Glutaminic acid; Glutaminol; Glutaton; (S)-2-Aminopentanedioic acid"
"1-Bromo-3-chloro-5,5-dimethylhydantion",016079-88-2,,"1-Bromo-3-chloro-5,5-dimethylhydantion",kg,Waterborne emissions,Waterborne emissions,65F4DD63-BC33-47C4-A722-C3849BFD3340,
1-Bromo-n-nonane,000693-58-3,,1-Bromo-n-nonane,kg,Waterborne emissions,Waterborne emissions,1C6E6068-5217-46CA-9F4B-063A16BF7B19,
1-Bromobutane,000109-65-9,,1-Bromobutane,kg,Waterborne emissions,Waterborne emissions,F61DCADD-3251-4406-8E14-9853517B8495,
1-Bromodecane,000112-29-8,,1-Bromodecane,kg,Waterborne emissions,Waterborne emissions,4BF0396A-79FC-42AF-BADD-B19914157198,
1-Bromoheptane,000629-04-9,,1-Bromoheptane,kg,Waterborne emissions,Waterborne emissions,AFDC7B02-1756-4D6E-8438-8770FC04E955,
1-Bromohexane,000111-25-1,,1-Bromohexane,kg,Waterborne emissions,Waterborne emissions,F39F5F43-27E8-4A87-904A-B0D14757B8A5,
1-Bromooctane,000111-83-1,,1-Bromooctane,kg,Waterborne emissions,Waterborne emissions,6E604FD4-7473-4DDF-BFB6-820841C2FAA9,
1-Bromopropane,000106-94-5,,1-Bromopropane,kg,Waterborne emissions,Waterborne emissions,FA8DAA65-86DA-446D-AA40-F3B7886B4DBF,
1-butyl-1-nitrosourea,000869-01-2,,1-butyl-1-nitrosourea,kg,Waterborne emissions,Waterborne emissions,2B6315D0-81E7-4F6F-BD74-8498FC486DAA,
1-Chloro-2-nitro-propane,002425-66-3,,1-Chloro-2-nitro-propane,kg,Waterborne emissions,Waterborne emissions,54FCFFF7-6DDE-437E-9368-D7B75679E6BD,
1-Chloro-2-propanol,000127-00-4,,1-Chloro-2-propanol,kg,Waterborne emissions,Waterborne emissions,622ED6D5-26F8-410D-8455-885112EC20A9,
1-Chloro-3-bromopropane,000109-70-6,,1-Chloro-3-bromopropane,kg,Waterborne emissions,Waterborne emissions,F6F215BC-E187-4C6E-8B2C-1B697C759032,
1-Chlorododecane,000112-52-7,,1-Chlorododecane,kg,Waterborne emissions,Waterborne emissions,06CB6F71-A19C-47C3-ADF4-BED5F51A4E84,
1-Chloronaphthalene,000090-13-1,,1-Chloronaphthalene,kg,Waterborne emissions,Waterborne emissions,CE4581E0-AB63-45EC-8FC7-20EF0BA0F51A,
1-Decanol,000112-30-1,,1-Decanol,kg,Waterborne emissions,Waterborne emissions,82F9FB5F-F8CB-45D9-8777-85BAB96C3339,
1-Ethoxy-naphthalin,005328-01-8,,1-Ethoxy-naphthalin,kg,Waterborne emissions,Waterborne emissions,27438C45-BACB-4A0E-A1E6-8843A70FFFC6,
1-Ethynyl cyclohexanol,000078-27-3,,1-Ethynyl cyclohexanol,kg,Waterborne emissions,Waterborne emissions,0EE5EC42-3CF2-4638-B296-698A3F62F49F,
1-Heptadecanamine,004200-95-7,,1-Heptadecanamine,kg,Waterborne emissions,Waterborne emissions,A8A649A2-06A9-45FE-BC11-945258780AE9,
1-Heptanol,000111-70-6,,1-Heptanol,kg,Waterborne emissions,Waterborne emissions,E4DEE6B8-9ACB-44DA-82E0-90CF6E5F341A,
"1-Heptanol, 6-methyl-",001653-40-3,,"1-Heptanol, 6-methyl-",kg,Waterborne emissions,Waterborne emissions,F6FF80C8-BAC0-435F-8F6C-272673680F94,
1-Heptene,000592-76-7,,1-Heptene,kg,Waterborne emissions,Waterborne emissions,F91E28E4-44D4-4E62-897D-E52D1BC4347A,
"1-Hexadecanamine, n,n-dimethyl-",000112-69-6,,"1-Hexadecanamine, n,n-dimethyl-",kg,Waterborne emissions,Waterborne emissions,83E0B788-59EC-4BED-91BB-D60B21E818F7,
"1-Hexadecanol, hydrogen sulfate, sodium salt",001120-01-0,,"1-Hexadecanol, hydrogen sulfate, sodium salt",kg,Waterborne emissions,Waterborne emissions,EA62A7D7-44B2-4125-9B80-E8B88329B180,
"1-Hexanamine, n-hexyl-",000143-16-8,,"1-Hexanamine, n-hexyl-",kg,Waterborne emissions,Waterborne emissions,4477A75B-93E1-4581-8949-089B70788012,
1-Hexanol,000111-27-3,,1-Hexanol,kg,Waterborne emissions,Waterborne emissions,59A86202-B47A-4893-98DE-1D58564FC4F9,
"1-Hexanol, 3,5,5-trimethyl-",003452-97-9,,"1-Hexanol, 3,5,5-trimethyl-",kg,Waterborne emissions,Waterborne emissions,A8489E00-A1FF-4658-9568-EB1C56FD96A5,
1-Hexen-3-ol,004798-44-1,,1-Hexen-3-ol,kg,Waterborne emissions,Waterborne emissions,7948F913-5E3C-4179-9824-35CEDBECECC4,
1-Hexene,000592-41-6,,1-Hexene,kg,Waterborne emissions,Waterborne emissions,8FF33E6F-7FEB-444D-BCC0-787741D5D56F,
"1-Hydroxy-1,1-diphosphonoethane",002809-21-4,,"1-Hydroxy-1,1-diphosphonoethane",kg,Waterborne emissions,Waterborne emissions,E2D92A46-1CCF-4D01-869C-3AAB5BA9548D,"formula: C2H8O7P2Synonyms: 1-Hydroxyethane-1,1-diphosphonic acid; 1-Hydroxyethylidene-1,1-diphosphonic acid; 1-hydroxyethylidenedi(phosphonic acid); Dequest 2010; Etidronic acid;"
1-Hydroxy-2(1h)-pyridinethione sodium salt,015922-78-8,,1-Hydroxy-2(1h)-pyridinethione sodium salt,kg,Waterborne emissions,Waterborne emissions,EA46093D-15C6-4D43-9695-8AE9D114CDBE,
1-Iodohexadecane,000544-77-4,,1-Iodohexadecane,kg,Waterborne emissions,Waterborne emissions,23B5BA04-415E-411E-BDFD-4F4BFB4BDD82,
1-Methyl-2-pyrrolidinone,000872-50-4,,1-Methyl-2-pyrrolidinone,kg,Waterborne emissions,Waterborne emissions,1654EB50-C4EA-49A6-97F6-C3A222CD88D1,Formula: C5H9NO Synonyms: 1-Methyl-5-Pyrrolidinone; 1-Methylpyrrolidinone; m-pyrrole; Deuterated N-Methyl-2-Pyrrolidone; Methylpyrrolidone; N-Methyl-2-pyrrolidinone; N-Methylpyrrolidone; NMP
1-Methyl-pyrrolidine,000120-94-5,,1-Methyl-pyrrolidine,kg,Waterborne emissions,Waterborne emissions,98E7533E-C37B-4AF5-9BD4-8CD7E5016C4F,
1-Methylnapthalene,000090-12-0,,1-Methylnapthalene,kg,Waterborne emissions,Waterborne emissions,8F011CC5-810B-49E1-8E78-A5FE521E6969,
"1-Naphthalenamine, n-ethyl-",000118-44-5,,"1-Naphthalenamine, n-ethyl-",kg,Waterborne emissions,Waterborne emissions,E51B84D5-AEE2-4EEE-A946-67A9BDCF5469,
1-Naphthalene acetamide,000086-86-2,,1-Naphthalene acetamide,kg,Waterborne emissions,Waterborne emissions,2F0F0C7B-E23F-4F24-A51A-6E70A04DFB64,"Formula: C12H11NO Synonyms: 1-Naphthaleneacetamide; Amid-Thin W; Frufix; NAA Amide; naphthaleneacetamide, NAD"
1-Naphthaleneacetic acid,000086-87-3,,1-Naphthaleneacetic acid,kg,Waterborne emissions,Waterborne emissions,D32D48BF-6607-469D-A2A1-3CF206A8F235,Formula: C12H10O2 Synonyms: 1-Naphthylacetic acid; alpha-Naphthylacetic Acid; Fruitone; NAA; Naphthalene-1-acetic acid; Naphthaleneacetic acid;  Planofix
1-Naphthalenecarbonitrile,000086-53-3,,1-Naphthalenecarbonitrile,kg,Waterborne emissions,Waterborne emissions,AA539D70-FEE4-4FA4-B699-F255D072B5C4,
1-Naphthalenemethanol,004780-79-4,,1-Naphthalenemethanol,kg,Waterborne emissions,Waterborne emissions,3C5B017F-9302-442B-9C03-4204CF153D50,
1-Naphthol,000090-15-3,,1-Naphthol,kg,Waterborne emissions,Waterborne emissions,1100A625-D658-4159-A674-756644845246,
1-Nitro-4-cyanobenzene,000619-72-7,,1-Nitro-4-cyanobenzene,kg,Waterborne emissions,Waterborne emissions,DA80B2DE-65B7-4A74-AAB3-7BF35E08630E,
1-Nitrobutane,000627-05-4,,1-Nitrobutane,kg,Waterborne emissions,Waterborne emissions,DAF25078-36B0-4FFD-8884-A71B86C79BEA,
1-Nitroethane,000079-24-3,,1-Nitroethane,kg,Waterborne emissions,Waterborne emissions,606A3F3C-92D7-444F-8477-47CC62DF1CCE,
1-Nitronaphthalene,000086-57-7,,1-Nitronaphthalene,kg,Waterborne emissions,Waterborne emissions,99BA1E04-A03C-41A4-BAD6-692229E0A731,
1-Nitropropane,000108-03-2,,1-Nitropropane,kg,Waterborne emissions,Waterborne emissions,8F733913-9FFB-47A7-B0F4-500BA1C8D6AC,
1-Nitroso-2-naphthol,000131-91-9,,1-Nitroso-2-naphthol,kg,Waterborne emissions,Waterborne emissions,EEEB1B71-6A02-4D4C-8E65-C20CFC314CD3,
"1-Nitroso-5,6-dihydrouracil",016813-36-8,,"1-Nitroso-5,6-dihydrouracil",kg,Waterborne emissions,Waterborne emissions,848D7C92-E15B-4D71-9A9E-96C83F8CBF99,Formula: C4H5N3O3
1-Nonanol,000143-08-8,,1-Nonanol,kg,Waterborne emissions,Waterborne emissions,64D962C7-3714-4B25-BD03-E5A31F345D03,
1-Octadecanol,000112-92-5,,1-Octadecanol,kg,Waterborne emissions,Waterborne emissions,4B21DD39-18C7-4813-B926-81DBF671C4C6,
"1-Octanamine, n-methyl-n-octyl-",004455-26-9,,"1-Octanamine, n-methyl-n-octyl-",kg,Waterborne emissions,Waterborne emissions,C1F06172-D677-4F8E-830E-89A5441B2EF3,
"1-Octanamine, n,n-dimethyl-",007378-99-6,,"1-Octanamine, n,n-dimethyl-",kg,Waterborne emissions,Waterborne emissions,EBCA079C-5CF4-44EF-B4A2-FF1B4E9DDD93,
1-Octanol,000111-87-5,,1-Octanol,kg,Waterborne emissions,Waterborne emissions,E20D0E58-0B10-4A05-9AB6-22E9588058C0,Formula: C8H18O Synonyms: 1-octyl alcohol; Alcohol C-8; Heptyl carbinol; n-Caprylic Alcohol; n-octanol; n-Capryl Alcohol; octan-1-ol; Caprylic alcohol; Octanol; Octyl alcohol; Capryl alcohol
"1-Octen-3-ol, 3,7-dimethyl-",018479-49-7,,"1-Octen-3-ol, 3,7-dimethyl-",kg,Waterborne emissions,Waterborne emissions,08AD5819-5AE6-4A3E-8F52-F96D3E784586,
"1-Pentanamine, n,n-dipentyl-",000621-77-2,,"1-Pentanamine, n,n-dipentyl-",kg,Waterborne emissions,Waterborne emissions,D56FF359-E6F9-4A72-8969-42697F442396,
1-Phenyl-3-ethyl thiourea,002741-06-2,,1-Phenyl-3-ethyl thiourea,kg,Waterborne emissions,Waterborne emissions,26763DFE-1033-4047-BC4A-7BEB1BDF7C79,
"1-Phenyl-3,3-dimethyltriazene",007227-91-0,,"1-Phenyl-3,3-dimethyltriazene",kg,Waterborne emissions,Waterborne emissions,C2421E1D-1F6A-436E-8CB1-40B0C58B04E1,"Formula: C8H11N3Synonyms: 3,3-dimethyl-1-phenyl-1-Triazene;DMPT; N,N-Dimethyltriazenobenzene; PDMT; PDT"
1-Piperazineethanamine,000140-31-8,,1-Piperazineethanamine,kg,Waterborne emissions,Waterborne emissions,06E17F55-945F-4ACC-B0C4-B85069EA55A3,
1-Piperazineethanol,000103-76-4,,1-Piperazineethanol,kg,Waterborne emissions,Waterborne emissions,85452464-A01D-4E53-A533-9EA3A3B08122,
"1-Piperidineethanol, 4-hydroxy-2,2,6,6-tetramethyl-",052722-86-8,,"1-Piperidineethanol, 4-hydroxy-2,2,6,6-tetramethyl-",kg,Waterborne emissions,Waterborne emissions,371BA479-9412-455C-9E54-01EE0D05992C,
"1-Piperidinyloxy, 2,2,6,6-tetramethyl-4-oxo-",002896-70-0,,"1-Piperidinyloxy, 2,2,6,6-tetramethyl-4-oxo-",kg,Waterborne emissions,Waterborne emissions,03D57B55-075B-4AB2-A2C7-741320A1B348,
"1-Piperoyl-(e,e)-piperidine",000094-62-2,,"1-Piperoyl-(e,e)-piperidine",kg,Waterborne emissions,Waterborne emissions,80252C20-DFB2-45C1-BCF5-8AB5ADFF8D86,
1-Propanethiol,000107-03-9,,1-Propanethiol,kg,Waterborne emissions,Waterborne emissions,B70760BA-A9F3-4489-AA9D-501DC1831263,
"1-Propanol, 2-chloro-, phosphate (3:1)",006145-73-9,,"1-Propanol, 2-chloro-, phosphate (3:1)",kg,Waterborne emissions,Waterborne emissions,F3FCFAE4-67A7-4275-A288-FF310489D64D,CAS number: 006145-73-9Formula: C9H18Cl3O4P
"1-Propanone, 1-(4-aminophenyl)-",000070-69-9,,"1-Propanone, 1-(4-aminophenyl)-",kg,Waterborne emissions,Waterborne emissions,E1F3874C-4FFE-4F67-9823-9EF75DEE709C,
"1-Propene, 3,3-diethoxy-",003054-95-3,,"1-Propene, 3,3-diethoxy-",kg,Waterborne emissions,Waterborne emissions,AAEEFDC6-FB5A-4349-96DF-30A5F9A9037D,
1-Tetradecanamine,002016-42-4,,1-Tetradecanamine,kg,Waterborne emissions,Waterborne emissions,DB9707F7-314E-4A2D-96FC-0110EFA16B7C,
"1-Tetradecanol, hydrogen sulfate, sodium salt",001191-50-0,,"1-Tetradecanol, hydrogen sulfate, sodium salt",kg,Waterborne emissions,Waterborne emissions,D367218B-4CA1-46E3-A5D3-8AF606007FF9,
1-Tridecanamine,002869-34-3,,1-Tridecanamine,kg,Waterborne emissions,Waterborne emissions,46C73016-B2D3-402A-BEB7-A0FEAA3973F1,
1-Tridecanol,000112-70-9,,1-Tridecanol,kg,Waterborne emissions,Waterborne emissions,D281B183-1C8A-4A10-8D81-29BFBB5A10C3,
1-Undecanol,000112-42-5,,1-Undecanol,kg,Waterborne emissions,Waterborne emissions,4F1D292D-2850-463C-916B-BAD88E4F22EB,
"1,1'-Bianthracene -9,9',10,10'-tetrone, 4,4'-diamino-",,,"1,1'-Bianthracene -9,9',10,10'-tetrone, 4,4'-diamino-",kg,Waterborne emissions,Waterborne emissions,F4C5AA3F-79F5-4077-A9DF-FE100BD61863,
"1,1'-Biphenyl, 2-chloro-, PCB-1",002051-60-7,,"1,1'-Biphenyl, 2-chloro-, PCB-1",kg,Waterborne emissions,Waterborne emissions,30D78E16-0A5F-462A-A8F0-A147FD2A6EE7,
"1,1'-Biphenyl, 2,2',4,4'-tetrachloro-, PCB-47",002437-79-8,,"1,1'-Biphenyl, 2,2',4,4'-tetrachloro-, PCB-47",kg,Waterborne emissions,Waterborne emissions,DB4E2C4E-535B-46E8-AB66-C52E65583C64,
"1,1'-Biphenyl, 2,2',4,4',6,6'-hexachloro-, PCB-155",033979-03-2,,"1,1'-Biphenyl, 2,2',4,4',6,6'-hexachloro-, PCB-155",kg,Waterborne emissions,Waterborne emissions,247C3D03-9F74-4EA1-BB0E-8DD362C0233C,
"1,1'-Biphenyl, 2,2',5-trichloro-, PCB-18",037680-65-2,,"1,1'-Biphenyl, 2,2',5-trichloro-, PCB-18",kg,Waterborne emissions,Waterborne emissions,9C5FCC4E-90EC-4B8F-A0AA-A37EE5DBA5BD,
"1,1'-Biphenyl, 2,4-dichloro-, PCB-7",033284-50-3,,"1,1'-Biphenyl, 2,4-dichloro-, PCB-7",kg,Waterborne emissions,Waterborne emissions,26EEB975-4D2B-4681-99C0-78D3DD7B8245,
"1,1'-Biphenyl, 2,4,5-trichloro-, PCB-29",015862-07-4,,"1,1'-Biphenyl, 2,4,5-trichloro-, PCB-29",kg,Waterborne emissions,Waterborne emissions,BA7B0605-AB64-4491-A750-0C116554309F,
"1,1'-Biphenyl, 3-chloro-, PCB-2",002051-61-8,,"1,1'-Biphenyl, 3-chloro-, PCB-2",kg,Waterborne emissions,Waterborne emissions,925DFC3A-FE98-48B9-BA9F-255A1A8DF35D,
"1,1'-Biphenyl, 3,3',4,4'-tetrachloro-, PCB-77",032598-13-3,,"1,1'-Biphenyl, 3,3',4,4'-tetrachloro-, PCB-77",kg,Waterborne emissions,Waterborne emissions,9940AD7A-CA34-4869-8955-38F34F4B03D2,
"1,1'-Biphenyl, 4-chloro-, PCB-3",002051-62-9,,"1,1'-Biphenyl, 4-chloro-, PCB-3",kg,Waterborne emissions,Waterborne emissions,1B3E92BC-B8FC-4404-A169-91C873B0BE0A,
