Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
Boron carbide,012069-32-8,,,kg,chemical,,,"air/low population density, long-term",454e32e4-09f5-4155-ae4c-7deab810a4b2,,,12316-49-3; 12069-32-8
Calcium hydroxide,001305-62-0,,,kg,chemical,,,"air/low population density, long-term",d01e19ca-a74b-4c54-88b8-8effdade14c9,,,1305-62-0
Diborane,019287-45-7,,,kg,chemical,,,"air/low population density, long-term",35087164-f31a-49b4-9518-c559e483fbe6,,,14452-61-0; 19287-45-7
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,"air/low population density, long-term",b42ad523-227d-4774-bcc6-a5f4f7ba2bb2,,,74-89-5
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,not including single substances,kg,group,,,"air/low population density, long-term",3f5339ef-1939-4f44-8cd6-98ac7584d456,,,
Potassium chloride,007447-40-7,,,kg,chemical,,,"air/low population density, long-term",9ab5099c-e419-4999-a604-1f1c1f361092,,,14336-88-0; 7447-40-7
Potassium hydroxide,001310-58-3,,,kg,chemical,,,"air/low population density, long-term",bda0ac8a-4254-42e5-8265-6b469df4c2c8,,,1310-58-3
"Radiation, electromagnetic",,,,MJ,energy,,,"air/low population density, long-term",e784ef7a-2a62-4636-97bc-f0be8ca2b969,,,
Sodium perchlorate,007601-89-0,,,kg,chemical,,,"air/low population density, long-term",fd776e0f-85db-4940-9b9f-5c42dd16af12,,,7601-89-0
Trichlorosilane,010025-78-2,,,kg,chemical,,,"air/low population density, long-term",4a44767e-63a3-4ba3-8f9e-a193f5b39a61,,,
