Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
Boron carbide,012069-32-8,,,kg,chemical,,,air/non-urban air or from high stacks,8a2ab025-c85d-49f0-9229-45f211ea6890,,,12316-49-3; 12069-32-8
Calcium hydroxide,001305-62-0,,,kg,chemical,,,air/non-urban air or from high stacks,b605b6eb-8760-4142-b741-2844b00ccbb1,,,1305-62-0
Diborane,019287-45-7,,,kg,chemical,,,air/non-urban air or from high stacks,34ce575e-a338-432a-ab49-f0ac660ff365,,,14452-61-0; 19287-45-7
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,air/non-urban air or from high stacks,a7284b4f-39ea-40a8-8207-91e77c455a08,,,74-89-5
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,,kg,group,,,air/non-urban air or from high stacks,33b38ccb-593b-4b11-b965-10d747ba3556,,,
Potassium chloride,007447-40-7,,,kg,chemical,,,air/non-urban air or from high stacks,989fb36e-b530-46b4-88c2-a28d9f1efa7b,,,14336-88-0; 7447-40-7
Potassium hydroxide,001310-58-3,,,kg,chemical,,,air/non-urban air or from high stacks,38d8a2a4-1334-4488-9282-271cd532c39a,,,1310-58-3
"Radiation, electromagnetic",,,,MJ,energy,,,air/non-urban air or from high stacks,10f2525f-b35b-4d8a-ad99-03acf1afce6b,,,
Sodium perchlorate,007601-89-0,,,kg,chemical,,,air/non-urban air or from high stacks,df748e50-40b4-4574-a055-c06ff2d60373,,,7601-89-0
Trichlorosilane,010025-78-2,,,kg,chemical,,,air/non-urban air or from high stacks,489cdf1b-997d-4425-a56e-491c24b89e29,,,
