Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"2,2,4-Trimethyl pentane",000540-84-1,,,kg,chemical,,,air/unspecified,5e98fd60-8da0-4006-9729-4d2797f96302,,,540-84-1
2-Methyl pentane,000107-83-5,C6H14,Isohexane,kg,chemical,,,air/unspecified,059e6a26-7035-4621-a360-c71c5778eec8,,,107-83-5
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,air/unspecified,4e44630f-4197-4f05-809f-0fef07fba7d3,,,513-35-9
Argon-40,007440-37-1,Ar,,kg,chemical,,,air/unspecified,38321e66-f6ab-4908-b26f-c17267559bc5,,,13965-95-2; 1290046-39-7; 14163-25-8; 7440-37-1
Benz(a)anthracene,000056-55-3,,,kg,chemical,,,air/unspecified,4db9bb53-4bdd-4f32-a6a8-521f58c5825c,,,56-55-3
"Benzene, dichloro",000095-50-1,,,kg,chemical,,,air/unspecified,b1c36287-329c-49f0-93c2-68246d34007c,,,
Benzo(ghi)perylene,000191-24-2,,,kg,chemical,,,air/unspecified,0605e241-ce98-4c10-8c61-d0a1775cdcb0,,,191-24-2
Boron carbide,012069-32-8,,,kg,chemical,,,air/unspecified,4c0d236e-e50f-409e-b84b-b053da3394fa,,,12316-49-3; 12069-32-8
Butanol,000071-36-3,,,kg,chemical,,,air/unspecified,b9a9b2ad-5db3-47aa-81de-3a48ae9ad4ec,,,91732-68-2; 21044-20-2; 32586-14-4; 118104-91-9; 71-36-3; 35296-72-1; 71-36-3
Calcium hydroxide,001305-62-0,,,kg,chemical,,,air/unspecified,5c2957fe-5790-4bbe-a7f1-06be8e6fb89a,,,1305-62-0
Diborane,019287-45-7,,,kg,chemical,,,air/unspecified,57655806-a54e-47ca-a8d2-9881813b7afa,,,14452-61-0; 19287-45-7
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,,kg,group?,,,air/unspecified,082903e4-45d8-4078-94cb-736b15279277,,,
Ethylene,000074-85-1,,,kg,chemical,,,air/unspecified,90f722bf-cb9b-571a-88fc-34286632bdc4,,,68037-39-8; 9002-88-4; 74-85-1
Ethylene glycol monoethyl ether,000110-80-5,,,kg,chemical,,,air/unspecified,45e23e23-d952-4721-a514-2acfa5bfcab5,,,110-80-5
Hydrochloric acid,007647-01-0,,,kg,chemical,,,air/unspecified,c9a8073a-8a19-5b9b-a120-7d549563b67b,,,185912-82-7; 124760-64-1; 2647-01-0; 7698-05-7; 7647-01-0
Lauric acid,000143-07-7,,,kg,chemical,,,air/unspecified,b0d2b7b9-c76d-50d4-b776-b9419ae83abe,,,143-07-7
"Methane, chloro-fluoro-, HCFC-31",000593-70-4,,,kg,chemical,,,air/unspecified,5eafb840-6f50-418d-98bd-27b86f75613c,,,
"Methane, tetrachloro-, R-10",000056-23-5,,,kg,chemical,,,air/unspecified,86d12e70-0c64-4ecf-ba52-114fa0c5d402,,,
"Methane, tetrafluoro-, R-14",000075-73-0,,,kg,chemical,,,air/unspecified,33681770-a0e1-4ce8-93c3-941fd607fa5f,,,
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,air/unspecified,ec420d84-577b-402e-bd90-f8a4b2310135,,,74-89-5
Monochloroethane,000075-00-3,,,kg,chemical,,,air/unspecified,bce77a75-c399-4fa6-94ab-90d0e704ebde,,,7371-46-2; 25854-33-5; 23072-56-2; 16520-13-1; 19199-91-8; 68411-72-3; 75-00-3
Naphtalene,000091-20-3,C10H8,"bicyclo(4.4.0)deca-1,3,5,7,9-pentene",kg,chemical,,,air/unspecified,7346ba9f-476c-4343-9f37-d1bb174eed6d,,,72931-45-4; 25135-16-4; 1683-98-3; 91-20-3; 91-20-3
Nitric oxide,010102-43-9,,,kg,chemical,,,air/unspecified,17f7e776-7934-54af-8c3c-ed0247cb697b,,,10102-43-9
Nitrogen,007727-37-9,N,,kg,chemical,,,air/unspecified,e5ea66ee-28e2-4e9b-9a25-4414551d821c,,,7727-37-9
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,,kg,group,,,air/unspecified,d3260d0e-8203-4cbb-a45a-6a13131a5108,,,
o-Nitrotoluene,000088-72-2,,"o-Mononitrotoluene, o-methylnitrobenzene, 2-nitrotoluene, ONT",kg,chemical,,,air/unspecified,f9f12076-1cdf-4a3d-a70d-eab640038144,,,88-72-2
"Phenol, 2,4-dichloro",000120-83-2,,,kg,chemical,,,air/unspecified,d45eed0a-e60a-46bb-a769-494f037c71bc,,,
Potassium chloride,007447-40-7,,,kg,chemical,,,air/unspecified,c6e057e1-c344-455c-a613-e1d222e58048,,,14336-88-0; 7447-40-7
Potassium hydroxide,001310-58-3,,,kg,chemical,,,air/unspecified,a817ad04-5b8f-48cd-a2e7-2c798a65f0a7,,,1310-58-3
Propanol,000071-23-8,,,kg,chemical,,,air/unspecified,ff5d0fa9-6ca8-4e61-b99b-14981620c0d7,,,71-31-8; 19986-23-3; 71-23-8; 64118-40-7; 4712-36-1; 142583-61-7; 71-23-8
"Radiation, electromagnetic",,,,MJ,energy,,,air/unspecified,1ff59fcb-f634-422c-bbbf-63dae44d9485,,,
Sodium perchlorate,007601-89-0,,,kg,chemical,,,air/unspecified,5298c766-a7f8-4bff-8409-369818561b7c,,,7601-89-0
Sodium tetrahydridoborate,016940-66-2,,,kg,chemical,,,air/unspecified,d471d4f2-5a9b-4ecb-93e8-6b2c364ae143,,,
"Toluene, 2-chloro",000095-49-8,,"1-chloro-2-methylbenzene, o-chlorotoluene, o-tolyl chloride",kg,chemical,,,air/unspecified,53578c58-7cd6-4623-9dd5-2c275bdc9f38,,,
Trichloroethylene,000079-01-6,,,kg,chemical,,,air/unspecified,a0950325-06dc-5ca0-84b6-983c9e6ccf74,,,79-01-6
Trichlorosilane,010025-78-2,,,kg,chemical,,,air/unspecified,0e6489b3-cfcf-4563-9064-67637fc455de,,,
