Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
Boron carbide,012069-32-8,,,kg,chemical,,,air/urban air close to ground,8aaf5a8b-b753-4d4b-8fe7-2f4969147738,,,12316-49-3; 12069-32-8
Calcium hydroxide,001305-62-0,,,kg,chemical,,,air/urban air close to ground,03c9b5ac-a8f1-4a10-a0a5-b01f699545d1,,,1305-62-0
Cyclohexane (for all cycloalkanes),000110-82-7,C6H12,,kg,group,,,air/urban air close to ground,2a042136-80fd-4c1c-8996-65a7985497d3,,,
Diborane,019287-45-7,,,kg,chemical,,,air/urban air close to ground,febe9ac2-ab48-4351-97cb-afcea765d411,,,14452-61-0; 19287-45-7
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,air/urban air close to ground,7238734e-18ef-4759-914d-61e9ed11bd4e,,,74-89-5
"NMVOC, non-methane volatile organic compounds, unspecified origin",,,,kg,group,,,air/urban air close to ground,175baa64-d985-4c5e-84ef-67cc3a1cf952,,,
Potassium chloride,007447-40-7,,,kg,chemical,,,air/urban air close to ground,46b2ddbc-a5b9-451b-842f-3d89d0614d2e,,,14336-88-0; 7447-40-7
Potassium hydroxide,001310-58-3,,,kg,chemical,,,air/urban air close to ground,38d7e9ef-5bea-4233-aa48-760785d060ed,,,1310-58-3
"Radiation, electromagnetic",,,,MJ,energy,,,air/urban air close to ground,4f9a751e-5992-40a9-bbd6-18f337ac66c8,,,
Sodium perchlorate,007601-89-0,,,kg,chemical,,,air/urban air close to ground,c8e91ad0-a019-492d-87d6-5885a8d1258d,,,7601-89-0
Trichlorosilane,010025-78-2,,,kg,chemical,,,air/urban air close to ground,68824a06-2815-4202-9f12-efec86f8df89,,,
