Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Aluminium, 24% in bauxite, 11% in crude ore, in ground",007429-90-5,,,kg,geological,,0.0,natural resource/in ground,8bc65fca-548d-4831-b102-391bbdd6bc8c,,,
"Astatine, in ground",007440-68-8,At,,kg,geological,,1.0,natural resource/in ground,e58cbe2f-15da-5fbe-8899-d632e3cbdfe9,,,
"Barite, 15% in crude ore, in ground",007727-43-7,,,kg,geological,,0.0,natural resource/in ground,c13beafb-2aed-4a52-b09a-78d28913b6ce,,,
"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In, in ground",007440-43-9,,,kg,geological,,0.0,natural resource/in ground,621b1cf1-9b47-4c44-b71e-ebeb9afd9bbc,,,
"Caesium, in ground",007440-46-2,Cs,Cesium,kg,geological,,1.0,natural resource/in ground,0e2f5e72-a754-5a14-bce5-6f8d66276d82,,,
"Carbon, organic, in soil or biomass stock",007440-44-0,,,kg,biological,,,natural resource/in ground,8c2fe757-6866-4ed2-9f89-81012ad774a0,,,
"Cerium, 24% in bastnasite, 2.4% in crude ore, in ground",007440-45-1,,,kg,geological,,0.0,natural resource/in ground,7a636bea-94c0-4774-a791-2512b7fbda94,,,
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",007440-47-3,,,kg,geological,,0.0,natural resource/in ground,ef6dd09f-bddc-49b4-a207-dbaec2f07bb5,,,
"Coal, hard, unspecified, in ground",,,,kg,fossil/nuclear,,,natural resource/in ground,b6d0042d-0ef8-49ed-9162-a07ff1ccf750,,,
"Copper, 1.25% in sulfide, Cu 0.24% and Zn 0,1% in crude ore, in ground",007440-50-8,Cu,,kg,geological,,0.0,natural resource/in ground,01b9f1e8-4423-5393-ba63-2067935bdb13,,,
"Copper, Cu 0.38%, in mixed ore, in ground",007440-50-8,,,kg,geological,,0.0,natural resource/in ground,5afa470c-ab8c-4ec3-8a18-5c0bed973571,,,
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",007440-50-8,,,kg,geological,,0.0,natural resource/in ground,73b7f080-b7ae-417c-b740-b4c9eabfb35a,,,
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground",007440-50-8,,,kg,geological,,0.0,natural resource/in ground,8508a83c-6a37-4159-93cc-21a2645390ab,,,
"Energy, geothermal, converted",,,,MJ,energy,,,natural resource/in ground,8bc09c04-2190-4ee2-9ee2-ae988ccd4e0c,,,
"Europium, 0.06% in bastnasite, 0.006% in crude ore, in ground",007440-53-1,,,kg,geological,,0.0,natural resource/in ground,7c954971-4bce-41db-9e8b-2b2f049539d7,,,
"Fluorine, 4.5% in apatite, 1% in crude ore, in ground",007782-41-4,,,kg,geological,,0.0,natural resource/in ground,e5fadc0b-1d79-4604-ac32-fd3321f27933,,,
"Fluorspar, 92%, in ground",014542-23-5,,CAS also 7789-75-5,kg,geological,,0.0,natural resource/in ground,de2d220b-9fe8-4c39-bef7-a76c00d6ff33,,,
"Gadolinium, 0.15% in bastnasite, 0.015% in crude ore, in ground",007440-54-2,,,kg,geological,,0.0,natural resource/in ground,b878ca93-d699-421e-a4b6-f694dc627062,,,
"Gallium, 0.014% in bauxite, in ground",007440-55-3,,,kg,geological,,0.0,natural resource/in ground,e2c5109f-9a68-4828-b824-eb2193864803,,,
"Gas, mine, off-gas, process, coal mining",008006-14-2,,,m3,fossil/nuclear,,,natural resource/in ground,3ed5f377-344f-423a-b5ec-9a9a1162b944,,,
"Gas, natural, in ground",008006-14-2,,,m3,fossil/nuclear,,,natural resource/in ground,7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,,,
"Gold, Au 1.4E-4%, in ore, in ground",007440-57-5,,,kg,geological,,0.0,natural resource/in ground,a8896ed6-4c9d-4b06-a356-49d8cdd9e9d7,,,
"Gold, Au 9.7E-4%, in mixed ore, in ground",007440-57-5,,,kg,geological,,0.0,natural resource/in ground,cf3d3dbc-0e4b-402d-92a1-8ea6b4869ed5,,,
"Helium, 0.08% in natural gas, in ground",007440-59-7,,,kg,chemical,,0.0,natural resource/in ground,4c276350-de3d-4bba-90a9-0d0a9ad097c0,,,
"Helium, in natural gas, in ground",007440-59-7,He,,kg,chemical,,1.0,natural resource/in ground,b6381644-4633-5bc6-9e90-c5d0514f9363,,,
"Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground",007440-74-6,,,kg,geological,,0.0,natural resource/in ground,e5cbe371-d33e-46ef-a832-a176f5e28520,,,
"Iron, 46% in ore, 25% in crude ore, in ground",007439-89-6,,,kg,geological,,0.0,natural resource/in ground,f77aacc3-2c22-4bda-99ab-fe1110a1b891,,,
"Iron, 72% in magnetite, 14% in crude ore, in ground",007439-89-6,Fe,,kg,geological,,0.0,natural resource/in ground,99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697,,,
