Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Bromine, 0.23% in water",007726-95-6,,,kg,chemical,,,natural resource/in water,61341186-aac8-4088-a2b7-ba50093bab6c,,,
"Bromine, in water",007726-95-6,Br,,kg,chemical,,,natural resource/in water,45d6f26b-596b-5182-8c08-d6d975ff4efe,,,
Carnallite,001318-27-0,,,kg,chemical,,,natural resource/in water,d16c8806-7701-4fbb-b68d-9b2d5d083d7a,,,1318-27-0
"Energy, potential (in hydropower reservoir), converted",,,,MJ,energy,,,natural resource/in water,c0dd7ccd-9e7a-42b3-b899-dfd18c2150ca,,,
"Iodine, 0.03% in water",007553-56-2,,,kg,chemical,,,natural resource/in water,7de77239-7074-4443-9dc9-4492c5e2ef35,,,
"Iodine, in water",007553-56-2,I,,kg,chemical,,,natural resource/in water,36a3d172-7373-507f-85bd-12b8ba31a6d4,,,
"Magnesium, 0.13% in water",007439-95-4,,,kg,chemical,,,natural resource/in water,752d138f-3723-42c1-bf5c-ca5316809c4c,,,
"Magnesium, in water",007439-95-4,Mg,,kg,chemical,,,natural resource/in water,247f3d96-7da2-5adf-a399-65745bc042fb,,,
"Volume occupied, reservoir",,,,m3*a,other,,,natural resource/in water,9a9d71c7-79f7-42d0-af47-282d22a7cf07,,,
"Water, cooling, unspecified natural origin",007732-18-5,,,m3,water,,,natural resource/in water,fc1c42ce-a759-49fa-b987-f1ec5e503db1,,,
"Water, lake",007732-18-5,,,m3,water,,,natural resource/in water,1acb026e-9de6-48fe-9e0d-be4d24125bbc,,,
"Water, river",007732-18-5,,,m3,water,,,natural resource/in water,8c75e7ab-8ab8-41e4-b394-c166ff5b050d,,,
"Water, salt, ocean",007732-18-5,,,m3,water,,,natural resource/in water,629ffbca-ca71-4e4b-a006-ca9bdd9cd1df,,,
"Water, salt, sole",007732-18-5,,,m3,water,,,natural resource/in water,79238018-8ec1-4615-9469-2b0df95a43c3,,,
"Water, turbine use, unspecified natural origin",007732-18-5,,,m3,water,,,natural resource/in water,8c1494a5-4987-4715-aa2d-1908c495f4eb,,,
"Water, unspecified natural origin",007732-18-5,,,m3,water,,,natural resource/in water,831f249e-53f2-49cf-a93c-7cee105f048e,,,
"Water, well, in ground",007732-18-5,,,m3,water,,,natural resource/in water,67c40aae-d403-464d-9649-c12695e43ad8,,,
