Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Occupation, arable land, unspecified use",,,,m2*a,land,,,natural resource/land,8c173ca1-5f74-4a6e-89e5-dd18e0f18d1a,,,
"Occupation, arable, conservation tillage (obsolete)",,,,m2,land,,,natural resource/land,fdb1b2d0-f537-401e-b845-1d93da512174,,,
"Occupation, arable, conventional tillage (obsolete)",,,,m2,land,,,natural resource/land,e489cce4-a80f-417d-9ae6-9fc14cc7dd49,,,
"Occupation, arable, reduced tillage (obsolete)",,,,m2,land,,,natural resource/land,81e07a67-28e0-4392-a553-d86e54a9b8a9,,,
"Occupation, bare area (non-use)",,,,m2*a,land,,,natural resource/land,c991a302-884f-4882-a094-e1b8f1d4c6b0,,,
"Occupation, field margin/hedgerow",,,,m2*a,land,,,natural resource/land,8222627a-0ca1-4632-894c-94d0e21064a1,,,
"Occupation, lake, artificial",,,,m2*a,land,,,natural resource/land,69dfa439-8e4e-4cae-bb0c-85a8aa8b9a73,,,
"Occupation, lake, natural (non-use)",,,,m2*a,land,,,natural resource/land,f8ba8266-7f00-47b8-9ef0-bc81a8728d09,,,
"Occupation, river, artificial",,,,m2*a,land,,,natural resource/land,c14ea750-4a9f-41fa-bcc1-4a1d84466f43,,,
"Occupation, river, natural (non-use)",,,,m2*a,land,,,natural resource/land,d54bb4f8-e6d9-46dc-a8ae-e70d5d8562c2,,,
"Occupation, seabed, natural (non-use)",,,,m2*a,land,,,natural resource/land,76e1a3ec-8bf5-4eae-92f0-1020ccd46e61,,,
"Occupation, seabed, unspecified",,,,m2*a,land,,,natural resource/land,7af0b1a6-2e8f-407a-8ac7-b02a2023155b,,,
"Occupation, snow and ice (non-use)",,,,m2*a,land,,,natural resource/land,817ebb8a-027d-4e4f-89c1-fe5548abcd0b,,,
"Occupation, urban, green area",,,,m2*a,land,,,natural resource/land,190d9910-5d04-4c97-abea-3b39682b7ed6,,,
"Occupation, wetland, coastal (non-use)",,,,m2*a,land,,,natural resource/land,54dfbd2f-8218-4f2f-87f8-d928d8056e8e,,,
"Occupation, wetland, inland (non-use)",,,,m2*a,land,,,natural resource/land,db1e4137-27a3-4b89-99af-42a18271c144,,,
"Transformation, from annual crop, flooded crop",,,,m2,land,,,natural resource/land,398ed67b-081c-49c4-8b43-b666bdfd739f,,,
"Transformation, from bare area (non-use)",,,,m2,land,,,natural resource/land,93b6b5d5-69e7-483f-ab1d-877205900970,,,
"Transformation, from field margin/hedgerow",,,,m2,land,,,natural resource/land,24edeb85-2af8-4477-b064-1cdcf1510449,,,
"Transformation, from lake, artificial",,CORINE 512a,,m2,land,,,natural resource/land,9c08496f-7895-44f9-8686-fe3154392da4,,,
"Transformation, from lake, natural (non-use)",,,,m2,land,,,natural resource/land,e3502f7b-0690-4b1e-8e1c-22f6886c26a1,,,
"Transformation, from river, artificial",,CORINE 511a,,m2,land,,,natural resource/land,631d9552-1190-4edf-abc9-319139c90bd4,,,
"Transformation, from seabed, natural (non-use)",,,,m2,land,,,natural resource/land,da92cf98-87cb-437e-ab2c-205ba0639006,,,
"Transformation, from snow and ice (non-use)",,,,m2,land,,,natural resource/land,dcd996a7-1c08-4b63-87d6-04bcbbe87792,,,
"Transformation, from unknown",,,,m2,land,,,natural resource/land,12264257-7f8b-4afe-b3cb-3ac28ca1661a,,,
"Transformation, from urban, green area",,,,m2,land,,,natural resource/land,83a691df-1e4a-4cee-bcdb-17b7bd0c8c35,,,
"Transformation, from wetland, coastal (non-use)",,,,m2,land,,,natural resource/land,1ef118e8-af9a-46d5-b04d-3ca10a69c51d,,,
"Transformation, to annual crop, flooded crop",,,,m2,land,,,natural resource/land,69ec5008-2c7e-408f-ac10-a31e07ded999,,,
"Transformation, to cropland fallow (non-use)",,CORINE 211c,,m2,land,,,natural resource/land,54b82481-32a3-4e82-bac7-1df475dbc80c,,,
"Transformation, to field margin/hedgerow",,,,m2,land,,,natural resource/land,c8a0392e-5ef6-4988-adf6-0adf88129aa1,,,
"Transformation, to lake, artificial",,CORINE 512a,,m2,land,,,natural resource/land,84b65d8f-2edd-4ddd-8f68-ca28d1c681b0,,,
"Transformation, to lake, natural (non-use)",,,,m2,land,,,natural resource/land,1e725387-0874-4acb-b026-11b30d76af56,,,
"Transformation, to river, artificial",,CORINE 511a,,m2,land,,,natural resource/land,090e9aa9-a9a9-4878-9634-3ad0ba7fbc91,,,
"Transformation, to river, natural (non-use)",,,,m2,land,,,natural resource/land,9a6a4617-dd80-4fe6-84a9-e6c5644bdf59,,,
"Transformation, to seabed, natural (non-use)",,,,m2,land,,,natural resource/land,9197fa8a-1f9a-427b-91d3-113260ae6eb1,,,
"Transformation, to snow and ice (non-use)",,,,m2,land,,,natural resource/land,4e1b1828-1085-46ad-a083-1868b5146537,,,
"Transformation, to unknown",,,,m2,land,,,natural resource/land,36965153-1daf-452a-8089-f4b5222c46ae,,,
"Transformation, to urban, green area",,,,m2,land,,,natural resource/land,f669a957-5574-4932-98cb-2851a12b3137,,,
"Transformation, to urban/industrial fallow (non-use)",,,,m2,land,,,natural resource/land,f157b88d-f288-473c-8b03-0f97b58235ff,,,
"Transformation, to wetland, coastal (non-use)",,,,m2,land,,,natural resource/land,f86f2893-58e9-4cb2-b4f2-ab1d80765c2f,,,
