Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,soil/agricultural,0eba8639-12c1-40ce-b1b6-e3394ec94dc0,,,
"2,4-DB",000094-82-6,,,kg,chemical,,,soil/agricultural,d051c442-f206-4d70-844d-7d44dbbc3d8e,,,94-82-6
Acibenzolar-S-methyl,135158-54-2,,,kg,chemical,,,soil/agricultural,5b834f01-a5dd-5d6c-94cb-2f5d262d3ccf,,,135158-54-2
Beta-cypermethrin,052315-07-8,C22H19Cl2NO3,,kg,chemical,,,soil/agricultural,6098e65f-3e52-5672-89b4-519dd8987d19,,,211504-94-8; 71697-59-1; 1224510-29-5; 72204-44-5; 67375-30-8; 65731-84-2; 97955-44-7; 71697-59-1; 67375-30-8; 66290-20-8; 66841-24-5; 82523-65-7; 137497-61-1; 97955-44-7; 72204-44-5; 71697-59-1; 52315-07-8; 65731-84-2; 86753-92-6; 67375-30-8; 52315-07-8
Bromopropylate,018181-80-1,,,kg,chemical,,,soil/agricultural,8e51c792-b402-5f20-9957-6d80823d4fcc,,,18181-80-1
Carbosulfan,055285-14-8,,,kg,chemical,,,soil/agricultural,e66d495d-aaf6-5709-9777-0da8ee74ca77,,,55285-14-8
Carfentrazone ethyl ester,128639-02-1,,Carfentrazone-ethyl,kg,chemical,,,soil/agricultural,d07867e3-66a8-4454-babd-78dc7f9a21f8,,,
Chlorotoluron,015545-48-9,,"3-(-3-chloro-p-tolyl)-1,1-dimethylurea",kg,chemical,,,soil/agricultural,e8bc4c9e-c34f-4983-aea0-2433f3397a3a,,,15545-48-9
Cyfluthrin,068359-37-5,,,kg,chemical,,,soil/agricultural,dd786e61-d387-4dc4-8314-2a5f958e7168,,,68359-37-5
Demeton-S-methylsulfon,017040-19-6,,,kg,chemical,,,soil/agricultural,dae66465-5c82-5b83-b400-2ec6e25b078a,,,17040-19-6
Diethofencarb,087130-20-9,,,kg,chemical,,,soil/agricultural,bd6facb4-c818-5e08-9260-a077eb711497,,,87130-20-9
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,,kg,group?,,,soil/agricultural,a7f661f4-da39-4571-a48b-a8d61314ce1b,,,
Dithianon,003347-22-6,,"5,10-dihydro-5,10-dioxonaphtho[2,3-b]-1,4-dithiine-2,3-dicarbonitrile",kg,chemical,,,soil/agricultural,31913320-21f3-4cc2-b09a-a15ac9b65f5e,,,3347-22-6
DSMA,000144-21-8,, Dinate,kg,chemical,,,soil/agricultural,9d32dff3-1e0e-44e1-8dab-2534399d5353,,,144-21-8
