Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,water/ground-,49b29466-706e-42c3-ac8c-f89f9530cb60,,,
"2,4-DB",000094-82-6,,,kg,chemical,,,water/ground-,68f64fd1-01f5-43b4-b191-0aebfffcf293,,,94-82-6
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,water/ground-,efe94e38-a449-4817-94c1-7aedf1022714,,,513-35-9
"Acrylate, ion",000079-10-7,,,kg,chemical,,,water/ground-,233ed5ca-7df0-4cf6-9271-21459ecd5c23,,,
"Arsenic, ion",017428-41-0,,,kg,chemical,,,water/ground-,1f607ae2-b42d-4411-90b8-e9bbac66a554,,,
"BOD5, Biological Oxygen Demand",,,,kg,other,,,water/ground-,57c27ba7-a61a-4932-8cd5-095c88ff0245,,,
Boron carbide,012069-32-8,,,kg,chemical,,,water/ground-,dccaaabc-673d-40bb-a030-1fd0543a3a2a,,,12316-49-3; 12069-32-8
Butanol,000071-36-3,,,kg,chemical,,,water/ground-,e756c84e-65d1-487b-aa76-91c9c8adff16,,,91732-68-2; 21044-20-2; 32586-14-4; 118104-91-9; 71-36-3; 35296-72-1; 71-36-3
"Cadmium, ion",022537-48-0,,,kg,chemical,,,water/ground-,3937f5a5-b4a4-434d-9fc3-1d29064fc3f8,,,
"Calcium, ion",014127-61-8,,,kg,chemical,,,water/ground-,1d0f4392-8c91-4d01-8a5d-f8fe1f5b05c9,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,water/ground-,6eb5976c-c1e1-4e3e-a362-a46054941573,,,
"Chromium, ion",016065-83-1,,,kg,chemical,,,water/ground-,1c87de06-e58f-4684-a54c-d29f1a251a87,,,
"COD, Chemical Oxygen Demand",,,,kg,other,,,water/ground-,be10dd54-eb4d-48ae-9e14-7d79ce8b170d,,,
"Copper, ion",017493-86-6,,,kg,chemical,,,water/ground-,c3b659e5-35f1-408c-8cb5-b5f9b295c76e,,,
Diborane,019287-45-7,,,kg,chemical,,,water/ground-,251b1db4-29e6-4312-bc30-ef7ae34aaaa3,,,14452-61-0; 19287-45-7
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,,kg,group?,,,water/ground-,4d479616-676f-4db1-8b3a-c14edbdbafc0,,,
Dissolved solids,,,,kg,other,,,water/ground-,54c743a4-5438-4f3c-8e84-89b3e6ec0cc0,,,
Elemental carbon,007440-44-0,C,,kg,chemical,,,water/ground-,36609913-7c42-457a-89cc-00e2d9f0f867,,,
Ethylene glycol monoethyl ether,000110-80-5,,,kg,chemical,,,water/ground-,7d516937-c4b6-4a10-bfd3-83c48802008c,,,110-80-5
Fluoboric acid,016872-11-0,,,kg,chemical,,,water/ground-,876e49fb-b3d6-48ca-8acc-473f8ee05aad,,,16872-11-0
"Iron, ion",015438-31-0,,,kg,chemical,,,water/ground-,33fd8342-58e7-45c9-ad92-0951c002c403,,,
Krypton-85,013983-27-2,,,kBq,chemical,,,water/ground-,b8c4cd64-27cd-43ca-ac5e-011ebdbee7ec,,,13983-27-2
"Lithium, ion",017341-24-1,,,kg,chemical,,,water/ground-,09cf7c11-0269-4fc1-a5f3-47121a7882d3,,,17341-24-1
MCPA,000094-74-6,,(4-chloro-2-methylphenoxy)acetic acid,kg,chemical,,,water/ground-,081ea9c3-9cbe-41d7-a962-840833ba98db,,,94-74-6
"Methane, tetrachloro-, R-10",000056-23-5,,Tetrachlormethan,kg,chemical,,,water/ground-,cba21953-176c-445a-beb1-010509ab0feb,,,
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,water/ground-,96dba537-69a1-4aec-a754-c90d0ca48ccf,,,74-89-5
Methyl borate,000121-43-7,,,kg,chemical,,,water/ground-,81057475-9f8a-47ff-8c0b-ce702467fa72,,,1212-43-7; 3349-42-6; 121-43-7
Monochloroethane,000075-00-3,,,kg,chemical,,,water/ground-,a1af6718-19fc-4727-b640-cda0ac7481fc,,,7371-46-2; 25854-33-5; 23072-56-2; 16520-13-1; 19199-91-8; 68411-72-3; 75-00-3
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/ground-,e030108f-2125-4bcb-a73b-ad72130fcca3,,,
