Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,water/surface water,c7dcf08c-f297-495b-b7db-f4f54799814b,,,
"2,4-DB",000094-82-6,,,kg,chemical,,,water/surface water,05136060-b6a6-4383-ae42-6ca90aeec59a,,,94-82-6
2-Methyl-2-butene,000513-35-9,,n-Amylene,kg,chemical,,,water/surface water,2df5a2fe-1ab2-48e7-a9a6-1085703b17be,,,513-35-9
"Acrylate, ion",000079-10-7,,,kg,chemical,,,water/surface water,eabb67d6-08cc-4c6e-ad95-6509e778730a,,,
"Arsenic, ion",017428-41-0,,,kg,chemical,,,water/surface water,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,
Benz(a)anthracene,000056-55-3,C18H12,Tetraphene,kg,chemical,,,water/surface water,ad3f2ad1-7386-4725-9b33-57392b5c22ac,,,56-55-3
Benzo(ghi)perylene,000191-24-2,C22H12,,kg,chemical,,,water/surface water,0017ce28-9f7a-404b-ad55-d3f43ad13cae,,,191-24-2
"BOD5, Biological Oxygen Demand",,,,kg,other,,,water/surface water,70d467b6-115e-43c5-add2-441de9411348,,,
Boron carbide,012069-32-8,,,kg,chemical,,,water/surface water,cfd4f0cb-8f13-4d7b-a3a7-ea454aa7643a,,,12316-49-3; 12069-32-8
Butanol,000071-36-3,,,kg,chemical,,,water/surface water,f6e3ce3b-ce57-4313-ac88-59a8361925cf,,,91732-68-2; 21044-20-2; 32586-14-4; 118104-91-9; 71-36-3; 35296-72-1; 71-36-3
"Cadmium, ion",022537-48-0,,,kg,chemical,,,water/surface water,af83b42f-a4e6-4457-be74-46a87798f82a,,,
"Calcium, ion",014127-61-8,,,kg,chemical,,,water/surface water,ac066c02-b403-407b-a1f0-b29ad0f8188f,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,water/surface water,85727faa-6607-4834-a34c-45a742a24c29,,,
"Chromium, ion",016065-83-1,,,kg,chemical,,,water/surface water,e34d3da4-a3d5-41be-84b5-458afe32c990,,,
