Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Arsenic, ion",017428-41-0,,,kg,chemical,,,water/unspecified,e1bd008f-c3c2-47f1-ab60-35e1a842acc0,,,
Boron carbide,012069-32-8,,,kg,chemical,,,water/unspecified,60b42f10-f538-4d77-ad4a-e83282f929e8,,,12316-49-3; 12069-32-8
"Cadmium, ion",022537-48-0,,,kg,chemical,,,water/unspecified,2712fe5f-0d3c-4c8e-8bc4-26c604413849,,,
"Calcium, ion",014127-61-8,,,kg,chemical,,,water/unspecified,08151735-9d1b-4b1c-a8b1-f341ade54f2f,,,
"Chloride, ion",016887-00-6,,,kg,chemical,,,water/unspecified,c4e01cfb-2f50-52d5-8177-1518ad8b7bea,,,
"Chlorosilane, trimethyl-",000075-77-4,,,kg,chemical,,,water/unspecified,26202571-16f9-48c3-bf4d-e9c189f43b2c,,,
"Copper, ion",017493-86-6,,,kg,chemical,,,water/unspecified,615b1460-6860-4cf6-8678-ad92c03c5e8b,,,
Diborane,019287-45-7,,,kg,chemical,,,water/unspecified,5ff293fa-85f0-4d44-b63b-00f651316fad,,,14452-61-0; 19287-45-7
Dissolved solids,,,,kg,other,,,water/unspecified,5ce634de-b810-4533-9efb-719c38fe7c09,,,
Fluoboric acid,016872-11-0,,,kg,chemical,,,water/unspecified,19b0229f-7cda-4154-baee-c1b1efef532a,,,16872-11-0
Krypton-85,013983-27-2,,,kBq,chemical,,,water/unspecified,4f46f2a8-545c-44d8-a40d-3e49571dcd51,,,13983-27-2
"Lithium, ion",017341-24-1,,,kg,chemical,,,water/unspecified,eb2bfdf1-1881-40e8-bebb-d674b2a79149,,,17341-24-1
Methyl borate,000121-43-7,,,kg,chemical,,,water/unspecified,d5a6fcba-b958-4b06-b193-b712eeb65cf4,,,1212-43-7; 3349-42-6; 121-43-7
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/unspecified,6ec6cdaa-5a01-46d4-b716-1905e56690ea,,,
"Perchlorate, ion",014797-73-0,,,kg,chemical,,,water/unspecified,4f722a22-e077-4626-830a-c57d856decc0,,,
"Potassium, ion",024203-36-9,,,kg,chemical,,,water/unspecified,130bbacf-e7c7-4ffd-b109-4d576f1d02c1,,,
"Radioactive species, from fission and activation",,,,kBq,group,,,water/unspecified,33fe9178-c7f7-4ebe-950a-8cbd1e799424,,,
"Silver, ion",014701-21-4,,,kg,chemical,,,water/unspecified,6aa8673f-f7e3-4270-93dc-e97b745fced7,,,
"Sodium, ion",017341-25-2,,,kg,chemical,,,water/unspecified,5ac961f0-8e53-42ff-b13f-1a7fb9133868,,,
"Sulfate, ion",014996-02-2,,,kg,chemical,,,water/unspecified,f3e5bff4-5bdf-55d7-8dd9-3cac7b09e57f,,,
"Tin, ion",022537-50-4,,,kg,chemical,,,water/unspecified,d5c40848-fc29-47fa-90a4-46db64a45a4e,,,
"Titanium, ion",022541-75-9,,,kg,chemical,,,water/unspecified,a4c31e2a-915e-4ab2-accd-d3ae93d2e01e,,,15969-58-1
Trichlorosilane,010025-78-2,,,kg,chemical,,,water/unspecified,21806f1e-a21a-43f7-82b1-00dd5c42fe3f,,,
"Vanadium, ion",022541-77-1,,,kg,chemical,,,water/unspecified,20839113-fbf2-4d2f-bab8-66861f86bc60,,,
"Zinc, ion",023713-49-7,,,kg,chemical,,,water/unspecified,2c7be02c-791f-4fef-b231-b90321bbeb30,,,
