Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Aluminium, 24% in bauxite, 11% in crude ore, in ground",007429-90-5,,,kg,geological,,0.0,natural resource/in ground,8bc65fca-548d-4831-b102-391bbdd6bc8c,,,
"Arsenic, ion",017428-41-0,,,kg,chemical,,,water/ground-,1f607ae2-b42d-4411-90b8-e9bbac66a554,,,
"Arsenic, ion",017428-41-0,,,kg,chemical,,,"water/ground-, long-term",e60edb16-3c74-415b-9aff-a22a6f49fecb,,,
"Arsenic, ion",017428-41-0,,,kg,chemical,,,water/ocean,d70b4182-d633-4178-84c0-8854f5f6594b,,,
"Arsenic, ion",017428-41-0,,,kg,chemical,,,water/surface water,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,
"Arsenic, ion",017428-41-0,,,kg,chemical,,,water/unspecified,e1bd008f-c3c2-47f1-ab60-35e1a842acc0,,,
"Astatine, in ground",007440-68-8,At,,kg,geological,,1.0,natural resource/in ground,e58cbe2f-15da-5fbe-8899-d632e3cbdfe9,,,
"Barite, 15% in crude ore, in ground",007727-43-7,,,kg,geological,,0.0,natural resource/in ground,c13beafb-2aed-4a52-b09a-78d28913b6ce,,,
Beta-cypermethrin,052315-07-8,C22H19Cl2NO3,,kg,chemical,,,soil/agricultural,6098e65f-3e52-5672-89b4-519dd8987d19,,,211504-94-8; 71697-59-1; 1224510-29-5; 72204-44-5; 67375-30-8; 65731-84-2; 97955-44-7; 71697-59-1; 67375-30-8; 66290-20-8; 66841-24-5; 82523-65-7; 137497-61-1; 97955-44-7; 72204-44-5; 71697-59-1; 52315-07-8; 65731-84-2; 86753-92-6; 67375-30-8; 52315-07-8
Boron carbide,012069-32-8,,,kg,chemical,,,"air/low population density, long-term",454e32e4-09f5-4155-ae4c-7deab810a4b2,,,12316-49-3; 12069-32-8
Boron carbide,012069-32-8,,,kg,chemical,,,air/lower stratosphere + upper troposphere,5128d076-e7a6-4bba-9a3a-432b2bce31fd,,,12316-49-3; 12069-32-8
Boron carbide,012069-32-8,,,kg,chemical,,,air/non-urban air or from high stacks,8a2ab025-c85d-49f0-9229-45f211ea6890,,,12316-49-3; 12069-32-8
Boron carbide,012069-32-8,,,kg,chemical,,,air/unspecified,4c0d236e-e50f-409e-b84b-b053da3394fa,,,12316-49-3; 12069-32-8
Boron carbide,012069-32-8,,,kg,chemical,,,air/urban air close to ground,8aaf5a8b-b753-4d4b-8fe7-2f4969147738,,,12316-49-3; 12069-32-8
