Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
Actinium,007440-34-8,Ac,Actinium,kg,Raw materials,Raw materials,90004354-71D3-47E8-B322-300BA5A98F7B,
Air,132259-10-0,,Air,kg,Raw materials,Raw materials,09336180-36F4-4389-9F51-1548DF956B24,
Aluminium,007429-90-5,Al,Aluminium,kg,Raw materials,Raw materials,0CDDB90F-BD92-46DE-BBDF-B7244C502CEB,
Anhydrite,014798-04-0,CaSO4,Anhydrite,kg,Raw materials,Raw materials,9F3A82FA-C5EC-4A67-A6BA-A8C70B506729,
Animal matter,,,Animal matter,kg,Raw materials,Raw materials,3AEDBE91-F73E-4283-ABDC-F5EFD119E784,
Anodes (used),,,Anodes (used),kg,Raw materials,Raw materials,94E06690-B8CA-4643-85B6-B93D65ABD3AB,
Antimonite,,,Antimonite,kg,Raw materials,Raw materials,2682A1CB-481E-4D13-B349-A470861A2837,
Antimony,007440-36-0,Sb,Antimony,kg,Raw materials,Raw materials,3663319E-1752-40A4-A2C2-92B5EA34A8E4,
Apatite,,,Apatite,kg,Raw materials,Raw materials,F1048BEF-39C8-4FAE-8782-140B84F6CF3C,
Argon,007440-37-1,Ar,Argon,kg,Raw materials,Raw materials,C3605DBE-42B4-4DA1-8211-9081B7CA1B98,
Argon-40/kg,,,Argon-40/kg,kg,Raw materials,Raw materials,2726C3D7-C07B-4579-8B51-B833365E82F8,CAS number: 1290046-39-7
Arsenic,007440-38-2,As,Arsenic,kg,Raw materials,Raw materials,57256A1B-501B-467F-97C3-40228C04EC53,
Barite,013462-86-7,BaSO4,Barite,kg,Raw materials,Raw materials,337FFABF-B9F5-4FCF-9F61-09D905A15AFD,
Barium,007440-39-3,Ba,Barium,kg,Raw materials,Raw materials,72791A7C-7339-412C-B11F-8BCC5EEE641B,
Basalt,,,Basalt,kg,Raw materials,Raw materials,2CD45EEB-0495-4B97-AB3F-CB67D053946D,
Bauxite,001318-16-7,"Al, Fe, O, OH ",Bauxite,kg,Raw materials,Raw materials,4C6185DF-504A-47BF-B127-59C2069B91C7,
Beryllium,007440-41-7,Be,Beryllium,kg,Raw materials,Raw materials,DE1E72F1-D0DF-4F60-A883-17C677CFBA84,
Biomass,,,Biomass,kg,Raw materials,Raw materials,D12BA322-D469-41F1-AF9D-AE05B119AFA6,
"Biomass, feedstock",,,"Biomass, feedstock",MJ,Raw materials,Raw materials,906167F1-AECF-44A6-B206-CE8AD947D9FC,
Bismuth,007440-69-9,Bi,Bismuth,kg,Raw materials,Raw materials,A43059E5-E175-4E5A-865D-AECD6CD72064,
Borax,071377-02-1,Na2B4O7,Borax,kg,Raw materials,Raw materials,4FAD5410-8FF3-47B7-AC3B-C52E8E8235BD,
Boron,007440-42-8,B,Boron,kg,Raw materials,Raw materials,262909CC-F015-429D-BAF3-49BBE6506FB2,
Bromine,010097-32-2,Br,Bromine,kg,Raw materials,Raw materials,5D0440C5-2681-4054-9921-8C234157F144,
Cadmium,007440-43-9,Cd,Cadmium,kg,Raw materials,Raw materials,4D1771FC-71B5-484A-9747-5C528E9CFD4C,
Calcite,013397-26-7,CaCO3,Calcite,kg,Raw materials,Raw materials,D8AC6C3D-7719-4421-9903-D099F86BC355,
Calcium,007440-70-2,Ca,Calcium,kg,Raw materials,Raw materials,C3FE30C1-BDF8-4869-9007-9F7DF1E41820,
Calcium carbonate,,,Calcium carbonate,kg,Raw materials,Raw materials,2EE55BBB-A073-4708-A157-925562703E5C,
Calcium chloride,010043-52-4,"CaCl2 Synonyms: Calcium(II) chloride, Calcium dichloride",Calcium chloride,kg,Raw materials,Raw materials,5C512F9C-A606-49C7-B7B7-0E8D8101264E,
Calcium sulfate,007778-18-9,CaSO4,Calcium sulfate,kg,Raw materials,Raw materials,D783AFF6-CDD6-41FF-B1B8-AE926C71CA1E,
Carbon,,,Carbon,kg,Raw materials,Raw materials,B9795222-AF33-4F34-A16C-FD060714F467,
"Carbon dioxide, in air",000124-38-9,CO2,"Carbon dioxide, in air",kg,Raw materials,Raw materials,32722990-B7D8-44A8-BC7D-EC3A89F533FF,
"Carbon dioxide, non-fossil, resource correction",000124-38-9,,"Carbon dioxide, non-fossil, resource correction",kg,Raw materials,Raw materials,889E2211-3741-4FBB-830D-7F2237E61F6A,"Flow introduced by ecoinvent to transparently correct imbalance in biogenic carbon, caused by economic allocation. It is characterized in methods, which give biogenic carbon factor different than 0."
"Carbon, organic, in soil or biomass stock",007440-44-0,,"Carbon, organic, in soil or biomass stock",kg,Raw materials,Raw materials,BC48BB98-D59E-418A-B426-0CDEA3FD90CB,
Carnallite,,,Carnallite,kg,Raw materials,Raw materials,413F493D-6DB5-44F6-AC3E-4FBC1A8387CA,"KMgCL3 6H2O, hydrated potassium magnesium chloride"
Cerium,007440-45-1,Ce,Cerium,kg,Raw materials,Raw materials,1EBDCB99-771F-4B90-8E6A-A0ADE39623E7,
Cesium,007440-46-2,Cs,Cesium,kg,Raw materials,Raw materials,0DF20014-9C63-415E-8D6F-E17EC782C33A,
